"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"27 de julio","Rinomodelacion 👃🏼 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7662805864406928661","15 de julio","12856","41","415","251524"
"27 de julio","Rinomodelacion 👃🏼 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7666158881197853972","24 de julio","2852","17","143","102232"
"27 de julio","Rinomodelacion 👃🏼 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7663505137951952148","17 de julio","3596","6","157","75839"
"27 de julio","Rinomodelacion para @more savan <3 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7649467156920290580","9 de junio","5882","5","73","120539"
"27 de julio","Rinomodelacion 👃🏼 #parati #fyp #makeup ","https://www.tiktok.com/@drdiegor/video/7644610422363983124","27 de mayo","14998","44","346","215835"
"27 de julio","Rinomodelacion👃🏼 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7664009782038203668","18 de julio","461","4","13","16541"
"27 de julio","El planazo #parati #makeup #amigas ","https://www.tiktok.com/@drdiegor/video/7663201233955556629","16 de julio","916","2","764","38075"
"27 de julio","Así es 😂 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7651675744778685717","15 de junio","1891","6","227","46661"
"27 de julio","Rinomodelacion 👃🏼 #parati #fyp #makeup ","https://www.tiktok.com/@drdiegor/video/7641994128586329365","20 de mayo","62190","90","2156","942142"
"27 de julio","Relleno de labios 💋 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7665385803467541780","22 de julio","345","2","5","8601"
"27 de julio","Relleno de labios 💋 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7661292926269459733","11 de julio","694","8","73","22636"
"27 de julio","Totalmente #parati #makeup #dinero #argentina ","https://www.tiktok.com/@drdiegor/video/7664727159482633493","20 de julio","269","0","4","6602"
"27 de julio","Rinomodelacion 👃🏼 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7665752820037127444","23 de julio","294","3","16","7887"
"27 de julio","Un antes y después para esta dupla 🤩  @More Miño✨ @La oveja ","https://www.tiktok.com/@drdiegor/video/7640530074290130194","16 de mayo","45336","19","316","626101"
"27 de julio","Rinomodelacion 👃🏼 #parati #makeup #argentina ","https://www.tiktok.com/@drdiegor/video/7665056775770541333","21 de julio","152","5","5","4824"
