escenario,capital_final,retorno_%,drawdown_max_%
1,40719.41,307.2,-7.79
2,44056.97,340.6,-9.2
3,36081.5,260.8,-9.81
4,40583.29,305.8,-7.94
5,42654.36,326.5,-7.34
6,37268.44,272.7,-10.66
7,35132.84,251.3,-10.12
8,40245.36,302.5,-10.65
9,46195.16,362.0,-6.37
10,42458.41,324.6,-6.87
11,43580.26,335.8,-9.29
12,45181.31,351.8,-6.51
13,47789.26,377.9,-6.53
14,39218.85,292.2,-10.7
15,36205.66,262.1,-8.38
16,38712.92,287.1,-8.87
17,41679.03,316.8,-7.87
18,37136.86,271.4,-9.23
19,38742.29,287.4,-7.03
20,40608.28,306.1,-9.28
