Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),"Trades tp ","Trades sl "
26/01/2026,Lunes,MER,,09:10,09:27,Buy,Take Profit,1,1,
27/01/2026,Martes,MEC,Envolvente,09:04,09:16,Sell,Take Profit,1,1,
28/01/2026,Miércoles,MEC,Envolvente,09:21,09:29,Buy,Stop Loss,-1,,1
28/01/2026,Miércoles,MER,,09:58,10:07,Buy,Stop Loss,-1,,1
29/01/2026,Jueves,MER,,09:06,09:08,Buy,Take Profit,1,1,
30/01/2026,Viernes,MER,,09:01,09:34,Buy,Take Profit,1,1,
02/02/2026,Lunes,MER,,09:33,10:28,Buy,Take Profit,1,1,
03/02/2026,Martes,MEC,Envolvente,09:15,09:17,Sell,Take Profit,1,1,
04/02/2026,Miércoles,MEC,Envolvente,09:32,09:41,Sell,Take Profit,1,1,
06/02/2026,Viernes,MEC,START,09:37,12:00,Buy,Take Profit,0,1,
09/02/2026,Lunes,MEC,START,09:27,09:34,Buy,Take Profit,1,1,
08/02/2026,Martes,MEC,Envolvente,09:45,10:22,Sell,Take Profit,1,1,
10/02/2026,Miércoles,MEC,Envolvente,09:56,10:09,Buy,Take Profit,1,1,
12/02/2026,Jueves,MEC,START,09:03,09:16,Sell,Take Profit,1,1,
17/02/2026,Martes,MER,,09:33,09:44,Sell,Take Profit,1,1,
18/02/2026,Miércoles,MEC,Envolvente,09:31,09:36,Buy,Take Profit,1,1,
19/02/2026,Jueves,MEC,START,09:07,09:34,Sell,Take Profit,1,1,
20/02/2026,Viernes,MER,,10:02,10:05,Sell,Take Profit,1,1,
23/02/2026,Lunes,MEC,START,09:12,09:24,Buy,Take Profit,1,1,
24/02/2026,Martes,MEC,Envolvente,09:38,10:45,Buy,Take Profit,1,1,
25/02/2026,Miércoles,MEC,Envolvente,09:23,09:35,Sell,Take Profit,1,1,
26/02/2026,Jueves,MER,,09:22,09:30,Buy,Stop Loss,-1,,1
26/02/2026,Jueves,MEC,Envolvente,10:27,10:36,Sell,Stop Loss,-1,,1
02/03/2026,Lunes,MEC,START,09:04,09:22,Sell,Take Profit,1,1,
03/03/2026,Martes,MER,,10:37,11:37,Buy,Take Profit,1,1,
05/03/2026,Jueves,MER,,09:04,09:15,Buy,Stop Loss,-1,,1
05/03/2026,Jueves,MEC,START,10:01,10:04,Buy,Stop Loss,-1,,1
09/03/2026,Lunes,MER,,09:30,09:41,Buy,Stop Loss,-1,,1
09/03/2026,Lunes,"Hegde Position, MER",,09:41,10:28,Sell,Take Profit,1,1,
10/03/2026,Martes,MEC,Envolvente,09:21,09:46,Buy,Stop Loss,-1,,1
10/03/2026,Martes,MEC,START,10:07,11:03,Sell,Stop Loss,-1,,1
12/03/2026,Jueves,MEC,Envolvente,09:15,09:22,Sell,Take Profit,1,1,
13/03/2026,Viernes,MEC,,09:25,09:34,Sell,Take Profit,1,1,
16/03/2026,Lunes,MER,,09:28,09:35,Sell,Stop Loss,-1,,-1
16/03/2026,Lunes,MEC,Envolvente,10:19,10:30,Sell,Take Profit,1,1,
17/03/2026,Martes,MER,,09:01,09:32,Buy,Take Profit,1,1,
18/03/2026,Miércoles,MER,,10:05,10:20,Buy,Stop Loss,-1,,1
18/03/2026,Miércoles,"Hegde Position, MER",,10:20,10:45,Sell,Take Profit,0,1,
18/03/2026,Miércoles,"Hegde Position, MER",,10:45,11:00,Buy,Take Profit,1,1,
20/03/2026,Viernes,MEC,Envolvente,09:10,09:51,Sell,Take Profit,1,1,
23/03/2026,Lunes,MEC,Envolvente,10:15,10:25,Buy,Take Profit,1,1,
24/03/2026,Martes,MEC,START,10:10,10:26,Buy,Take Profit,1,1,
25/03/2026,Miércoles,MEC,Envolvente,09:45,09:52,Sell,Take Profit,1,1,
26/03/2026,Jueves,MER,,09:44,10:35,Buy,Stop Loss,-1,,1
27/03/2026,Viernes,MEC,Envolvente,09:09,09:33,Sell,Take Profit,1,1,
