Hora apertura (NY),Beneficio (R),Buy / Sell,Día,Fecha,Hora cierre  (NY),Modelo de entrada,Patrón de entrada,Resultado,"Trades sl ","Trades tp "
10:27,-1,Sell,Jueves,26/02/2026,10:36,MEC,Envolvente,Stop Loss,1,
09:12,1,Buy,Lunes,23/02/2026,09:24,MEC,START,Take Profit,,1
09:15,1,Sell,Martes,03/02/2026,09:17,MEC,Envolvente,Take Profit,,1
09:45,1,Sell,Martes,08/02/2026,10:22,MEC,Envolvente,Take Profit,,1
09:09,1,Sell,Viernes,27/03/2026,09:33,MEC,Envolvente,Take Profit,,1
09:21,-1,Buy,Martes,10/03/2026,09:46,MEC,Envolvente,Stop Loss,1,
09:30,-1,Buy,Lunes,09/03/2026,09:41,MER,,Stop Loss,1,
09:10,1,Buy,Lunes,26/01/2026,09:27,MER,,Take Profit,,1
09:28,-1,Sell,Lunes,16/03/2026,09:35,MER,,Stop Loss,-1,
10:37,1,Buy,Martes,03/03/2026,11:37,MER,,Take Profit,,1
09:01,1,Buy,Viernes,30/01/2026,09:34,MER,,Take Profit,,1
09:04,-1,Buy,Jueves,05/03/2026,09:15,MER,,Stop Loss,1,
09:03,1,Sell,Jueves,12/02/2026,09:16,MEC,START,Take Profit,,1
09:27,1,Buy,Lunes,09/02/2026,09:34,MEC,START,Take Profit,,1
09:07,1,Sell,Jueves,19/02/2026,09:34,MEC,START,Take Profit,,1
09:25,1,Sell,Viernes,13/03/2026,09:34,MEC,,Take Profit,,1
10:45,1,Buy,Miércoles,18/03/2026,11:00,"Hegde Position, MER",,Take Profit,,1
09:56,1,Buy,Miércoles,10/02/2026,10:09,MEC,Envolvente,Take Profit,,1
10:01,-1,Buy,Jueves,05/03/2026,10:04,MEC,START,Stop Loss,1,
10:20,0,Sell,Miércoles,18/03/2026,10:45,"Hegde Position, MER",,Take Profit,,1
09:15,1,Sell,Jueves,12/03/2026,09:22,MEC,Envolvente,Take Profit,,1
09:41,1,Sell,Lunes,09/03/2026,10:28,"Hegde Position, MER",,Take Profit,,1
09:31,1,Buy,Miércoles,18/02/2026,09:36,MEC,Envolvente,Take Profit,,1
09:37,0,Buy,Viernes,06/02/2026,12:00,MEC,START,Take Profit,,1
09:04,1,Sell,Lunes,02/03/2026,09:22,MEC,START,Take Profit,,1
09:01,1,Buy,Martes,17/03/2026,09:32,MER,,Take Profit,,1
09:32,1,Sell,Miércoles,04/02/2026,09:41,MEC,Envolvente,Take Profit,,1
09:23,1,Sell,Miércoles,25/02/2026,09:35,MEC,Envolvente,Take Profit,,1
10:15,1,Buy,Lunes,23/03/2026,10:25,MEC,Envolvente,Take Profit,,1
09:33,1,Sell,Martes,17/02/2026,09:44,MER,,Take Profit,,1
09:44,-1,Buy,Jueves,26/03/2026,10:35,MER,,Stop Loss,1,
09:10,1,Sell,Viernes,20/03/2026,09:51,MEC,Envolvente,Take Profit,,1
09:45,1,Sell,Miércoles,25/03/2026,09:52,MEC,Envolvente,Take Profit,,1
10:10,1,Buy,Martes,24/03/2026,10:26,MEC,START,Take Profit,,1
10:05,-1,Buy,Miércoles,18/03/2026,10:20,MER,,Stop Loss,1,
09:33,1,Buy,Lunes,02/02/2026,10:28,MER,,Take Profit,,1
10:07,-1,Sell,Martes,10/03/2026,11:03,MEC,START,Stop Loss,1,
09:22,-1,Buy,Jueves,26/02/2026,09:30,MER,,Stop Loss,1,
09:06,1,Buy,Jueves,29/01/2026,09:08,MER,,Take Profit,,1
10:02,1,Sell,Viernes,20/02/2026,10:05,MER,,Take Profit,,1
09:04,1,Sell,Martes,27/01/2026,09:16,MEC,Envolvente,Take Profit,,1
09:21,-1,Buy,Miércoles,28/01/2026,09:29,MEC,Envolvente,Stop Loss,1,
09:38,1,Buy,Martes,24/02/2026,10:45,MEC,Envolvente,Take Profit,,1
10:19,1,Sell,Lunes,16/03/2026,10:30,MEC,Envolvente,Take Profit,,1
09:58,-1,Buy,Miércoles,28/01/2026,10:07,MER,,Stop Loss,1,
