Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),"Trades tp ","Trades sl "
30/03/2026,Lunes,MER,,09:05,09:35,Sell,Take Profit,1,1,
31/03/2026,Martes,MER,,09:09,09:25,Buy,Stop Loss,"-0,14",,1
31/03/2026,Martes,"Hegde Position, MER",,09:25,09:32,Sell,Take Profit,1,1,
01/04/2026,Miércoles,MEC,START,10:45,11:32,Buy,Take Profit,1,1,
02/04/2026,Jueves,MER,,09:41,09:47,Buy,Take Profit,1,1,
06/04/2026,Lunes,MER,,09:24,10:00,Buy,Take Profit,1,1,
07/04/2026,Martes,MER,,09:54,10:01,Buy,Stop Loss,-1,,1
07/04/2026,Martes,"Hegde Position, MER",,10:01,10:06,Sell,Take Profit,1,1,
08/04/2026,Miércoles,MER,,09:10,09:31,Sell,Take Profit,1,1,
09/04/2026,Jueves,MER,,09:33,09:35,Buy,Take Profit,1,1,
13/04/2026,Lunes,MEC,Envolvente,09:47,09:48,Sell,Stop Loss,-1,,1
13/04/2026,Lunes,MEC,Envolvente,10:17,10:23,Sell,Take Profit,1,1,
14/04/2026,Martes,MEC,Envolvente,09:19,09:38,Buy,Take Profit,1,1,
15/04/2026,Miércoles,MEC,START,09:57,10:00,Buy,Stop Loss,-1,,1
15/04/2026,Miércoles,MEC,Envolvente,10:30,10:52,Sell,Take Profit,1,1,
16/04/2026,Jueves,MER,,09:34,09:47,Buy,Stop Loss,-1,,1
17/04/2026,Viernes,MEC,Envolvente,09:06,09:10,Buy,Take Profit,1,1,
21/04/2026,Martes,MER,,09:05,09:09,Sell,Take Profit,1,1,
22/04/2026,Miércoles,MER,,09:28,09:46,Buy,Take Profit,1,1,
23/04/2026,Jueves,MER,,09:16,09:46,Buy,Take Profit,1,1,
24/04/2026,Viernes,MER,,09:21,09:31,Sell,Take Profit,1,1,
27/04/2026,Lunes,MER,,09:16,09:35,Buy,Stop Loss,-1,,1
27/04/2026,Lunes,MER,,10:26,10:35,Sell,Stop Loss,"-0,17",,1
28/04/2026,Martes,MEC,Envolvente,09:04,10:03,Sell,Take Profit,1,1,
29/04/2026,Miércoles,MEC,Envolvente,09:38,09:40,Sell,Take Profit,1,1,
30/04/2026,Jueves,MEC,START,09:34,09:46,Sell,Take Profit,1,1,
01/05/2026,Viernes,MEC,START,09:16,09:33,Sell,Stop Loss,-1,,1
01/05/2026,Viernes,MEC,Envolvente,09:52,09:55,Buy,Take Profit,1,1,
04/05/2026,Lunes,MER,,09:32,10:09,Buy,Stop Loss,-1,,1
04/05/2026,Lunes,MEC,Envolvente,10:15,10:20,Buy,Take Profit,1,1,
