Hora apertura (NY),Beneficio (R),Buy / Sell,Día,Fecha,Hora cierre  (NY),Modelo de entrada,Patrón de entrada,Resultado,"Trades sl ","Trades tp "
09:37,"-0,44",Sell,Viernes,31/10/2025,09:47,MEC,Envolvente,Stop Loss,1,
09:16,1,Sell,Lunes,10/11/2025,09:34,MEC,Envolvente,Take Profit,,1
10:10,1,Sell,Lunes,01/12/2025,10:15,MER,,Take Profit,,1
09:35,-1,Buy,Miércoles,26/11/2025,10:00,MEC,Envolvente,Stop Loss,1,
10:04,1,Buy,Miércoles,03/12/2025,10:34,"Hegde Position, MER",,Take Profit,,1
10:50,"-0,48",Sell,Martes,18/11/2025,11:16,MEC,Envolvente,Stop Loss,1,
09:06,1,Buy,Lunes,17/11/2025,09:35,MER,,Take Profit,,1
09:30,1,Buy,Martes,09/12/2025,09:33,MER,,Take Profit,,1
09:04,-1,Buy,Viernes,12/12/2025,09:35,MER,,Stop Loss,1,
09:33,1,Sell,Lunes,08/12/2025,09:43,"Hegde Position, MER",,Take Profit,,1
09:29,1,Sell,Martes,04/11/2025,14:10,MEC,Envolvente,Take Profit,,1
09:07,0,Buy,Martes,02/12/2025,09:41,MEC,START,Take Profit,,1
09:47,-1,Buy,Viernes,31/10/2025,09:52,"Hegde Position, MER",,Stop Loss,1,
09:32,-1,Buy,Jueves,04/12/2025,09:37,MEC,Envolvente,Stop Loss,1,
09:51,0,Sell,Miércoles,03/12/2025,10:04,MEC,Envolvente,Take Profit,,1
,,,,,,,,,,
09:07,1,Buy,Jueves,11/12/2025,09:22,MEC,Envolvente,Take Profit,,1
10:10,1,Buy,Miércoles,26/11/2025,10:23,MEC,Envolvente,Take Profit,,1
09:51,1,Buy,Lunes,24/11/2025,10:14,MER,,Take Profit,,1
09:15,-1,Buy,Martes,18/11/2025,09:46,MEC,Envolvente,Stop Loss,1,
09:10,1,Buy,Viernes,07/11/2025,09:22,MER,,Take Profit,,1
10:26,1,Sell,Miércoles,19/11/2025,10:45,MER,,Take Profit,,1
09:27,1,Sell,Martes,25/11/2025,09:35,MEC,Envolvente,Take Profit,,1
09:30,1,Sell,Lunes,27/10/2025,10:03,MEC,Envolvente,Take Profit,,1
09:43,1,Sell,Miércoles,05/11/2025,10:00,MEC,Envolvente,Take Profit,,1
09:53,-1,Buy,Jueves,04/12/2025,10:02,MEC,Envolvente,Stop Loss,1,
09:18,1,Sell,Miércoles,12/11/2025,09:33,MER,,Take Profit,,1
09:27,-1,Buy,Miércoles,05/11/2025,09:41,MEC,Envolvente,Stop Loss,1,
09:03,1,Sell,Jueves,13/11/2025,09:07,MER,,Take Profit,,1
09:50,1,Buy,Miércoles,29/10/2025,10:03,MER,,Take Profit,,1
09:18,1,Buy,Martes,28/04/2026,09:52,MEC,Envolvente,Take Profit,,1
09:41,1,Sell,Martes,02/12/2025,10:07,"Hegde Position, MEC",Envolvente,Take Profit,,1
09:37,1,Buy,Viernes,14/11/2025,10:48,MER,,Take Profit,,1
09:26,"0,27",Sell,Miércoles,10/12/2025,11:00,MER,,Take Profit,,1
09:10,1,Sell,Jueves,06/11/2025,09:21,MEC,Envolvente,Take Profit,,1
09:51,"-0,66",Buy,Viernes,12/12/2025,10:16,MER,,Stop Loss,1,
09:23,"-0,4",Buy,Lunes,08/12/2025,09:33,MEC,Envolvente,Stop Loss,1,
09:02,1,Buy,Viernes,28/11/2025,09:38,MEC,Envolvente,Take Profit,,1
09:27,1,Sell,Lunes,03/11/2025,09:32,MER,,Take Profit,,1
