t_entrada,t_salida,direccion,motivo,R,precio_entrada,precio_salida,modelo
2022-01-03 14:18:00+00:00,2022-01-03 14:29:00+00:00,-1,TP,0.9,1808.745,1807.1501999999998,MER
2022-01-04 14:24:00+00:00,2022-01-04 14:29:00+00:00,1,SL,-1.0,1809.444,1808.073,MEC-A
2022-01-04 14:33:00+00:00,2022-01-04 14:52:00+00:00,-1,SL,-1.0,1807.635,1809.755,MEC-A
2022-01-05 14:18:00+00:00,2022-01-05 14:30:00+00:00,1,SL,-1.0,1827.175,1826.175,MEC-A
2022-01-05 14:30:00+00:00,2022-01-05 14:32:00+00:00,-1,TP,0.9,1826.363,1825.7069000000001,MEC-A
2022-01-06 14:13:00+00:00,2022-01-06 14:30:00+00:00,1,TP,0.9,1788.818,1790.0114,MEC-A
2022-01-07 14:18:00+00:00,2022-01-07 14:33:00+00:00,1,SL,-1.0,1794.17,1791.825,MEC-A
2022-01-07 14:36:00+00:00,2022-01-07 14:45:00+00:00,-1,SL,-1.0,1789.664,1794.097,MEC-A
2022-01-10 14:15:00+00:00,2022-01-10 14:31:00+00:00,-1,SL,-1.0,1790.67,1793.14,MEC-A
2022-01-10 14:38:00+00:00,2022-01-10 14:50:00+00:00,1,TP,0.9,1793.861,1795.5854000000002,MEC-A
2022-01-11 14:31:00+00:00,2022-01-11 14:38:00+00:00,1,TP,0.9,1804.771,1806.3918999999999,MER
2022-01-12 14:12:00+00:00,2022-01-12 14:26:00+00:00,-1,SL,-1.0,1819.87,1822.062,MEC-A
2022-01-12 14:26:00+00:00,2022-01-12 14:43:00+00:00,1,TP,0.9,1822.3,1824.3204999999998,MEC-A
2022-01-13 14:09:00+00:00,2022-01-13 14:30:00+00:00,1,SL,-1.0,1823.375,1820.915,MEC-A
2022-01-13 14:36:00+00:00,2022-01-13 14:46:00+00:00,-1,TP,0.9,1820.792,1819.4186,MEC-A
2022-01-14 14:21:00+00:00,2022-01-14 14:27:00+00:00,-1,TP,0.9,1824.295,1822.5355000000002,MER
2022-01-17 14:18:00+00:00,2022-01-17 14:31:00+00:00,-1,TP,0.9,1820.445,1820.1272999999999,MEC-A
2022-01-18 15:16:00+00:00,2022-01-18 15:18:00+00:00,-1,TP,0.9,1815.68,1814.114,MEC-A
2022-01-19 14:17:00+00:00,2022-01-19 14:27:00+00:00,1,SL,-1.0,1824.637,1823.541,MER
2022-01-19 14:30:00+00:00,2022-01-19 14:31:00+00:00,-1,SL,-1.0,1823.135,1824.637,MEC-A
2022-01-21 14:32:00+00:00,2022-01-21 14:39:00+00:00,-1,SL,-1.0,1841.115,1842.445,MEC-A
2022-01-21 14:39:00+00:00,2022-01-21 14:41:00+00:00,1,SL,-1.0,1842.633,1840.662,MER
2022-01-24 14:09:00+00:00,2022-01-24 14:10:00+00:00,1,TP,0.9,1837.805,1839.2243,MER
2022-01-25 14:10:00+00:00,2022-01-25 14:25:00+00:00,-1,TP,0.9,1841.593,1840.2025000000003,MEC-A
2022-01-26 14:15:00+00:00,2022-01-26 14:22:00+00:00,-1,TP,0.9,1839.607,1836.7666,MEC-A
2022-01-27 14:37:00+00:00,2022-01-27 15:31:00+00:00,1,SL,-1.0,1806.293,1799.28,MEC-A
2022-01-28 14:13:00+00:00,2022-01-28 14:16:00+00:00,-1,TP,0.9,1786.395,1784.2989,MER
2022-01-31 14:17:00+00:00,2022-01-31 14:59:00+00:00,1,SL,-1.0,1797.829,1795.31,MER
2022-02-01 14:40:00+00:00,2022-02-01 14:44:00+00:00,-1,TP,0.9,1803.182,1800.8708000000001,MEC-A
2022-02-02 14:32:00+00:00,2022-02-02 14:43:00+00:00,1,SL,-1.0,1804.1,1802.198,MER
2022-02-02 14:45:00+00:00,2022-02-02 14:48:00+00:00,1,SL,-1.0,1804.072,1802.198,MEC-A
2022-02-03 14:19:00+00:00,2022-02-03 14:22:00+00:00,1,SL,-1.0,1804.631,1803.62,MEC-A
2022-02-03 14:29:00+00:00,2022-02-03 14:36:00+00:00,-1,TP,0.9,1802.31,1800.2210999999998,MEC-A
2022-02-04 14:29:00+00:00,2022-02-04 14:40:00+00:00,-1,SL,-1.0,1799.805,1803.415,MEC-A
2022-02-07 14:27:00+00:00,2022-02-07 14:46:00+00:00,-1,TP,0.9,1814.51,1813.3058,MEC-A
2022-02-08 14:14:00+00:00,2022-02-08 14:34:00+00:00,-1,TP,0.9,1822.25,1820.4275,MEC-A
2022-02-09 14:21:00+00:00,2022-02-09 14:38:00+00:00,1,SL,-1.0,1828.155,1826.71,MEC-A
2022-02-09 14:43:00+00:00,2022-02-09 14:46:00+00:00,1,TP,0.9,1828.717,1830.3739000000003,MEC-A
2022-02-10 14:37:00+00:00,2022-02-10 14:46:00+00:00,1,TP,0.9,1829.66,1833.1430000000003,MER
2022-02-11 14:18:00+00:00,2022-02-11 14:32:00+00:00,1,TP,0.9,1829.07,1830.4803,MEC-A
2022-02-14 14:26:00+00:00,2022-02-14 14:32:00+00:00,-1,SL,-1.0,1860.202,1862.548,MEC-A
