t_entry,t_exit,dir,modelo,entry,exit,motivo,r,fecha
2025-10-27 13:26:00+00:00,2025-10-27 13:30:00+00:00,SELL,MEC-A,4036.7285,4030.26965,TP,0.9,2025-10-27
2025-10-28 13:03:00+00:00,2025-10-28 13:34:00+00:00,LONG,MEC-A,3925.895,3924.09,Hedge,-0.08900394477316659,2025-10-28
2025-10-28 13:34:00+00:00,2025-10-28 13:42:00+00:00,SELL,MEC-A,3924.09,3915.20835,TP,0.9,2025-10-28
2025-10-29 13:04:00+00:00,2025-10-29 13:38:00+00:00,SELL,MEC-A,4014.85,4004.9635,TP,0.9,2025-10-29
2025-10-31 13:01:00+00:00,2025-10-31 13:08:00+00:00,SHORT,MEC-A,4022.776,4028.476,Hedge,-0.4209127159946918,2025-10-31
2025-10-31 13:08:00+00:00,2025-10-31 13:13:00+00:00,BUY,MEC-A,4028.476,4035.7354000000005,TP,0.9,2025-10-31
2025-11-03 14:09:00+00:00,2025-11-03 14:21:00+00:00,SHORT,MEC-A,4013.59,4019.207,Hedge,-0.7668259385665357,2025-11-03
2025-11-03 14:21:00+00:00,2025-11-03 14:27:00+00:00,BUY,MEC-A,4019.207,4014.682,SL,-1.0,2025-11-03
2025-11-03 14:27:00+00:00,2025-11-03 14:32:00+00:00,SELL,MEC-A,4012.436,4005.0965000000006,TP,0.9,2025-11-03
2025-11-04 14:01:00+00:00,2025-11-04 14:29:00+00:00,SELL,MEC-A,3970.275,3962.715,TP,0.9,2025-11-04
2025-11-05 14:04:00+00:00,2025-11-05 14:25:00+00:00,BUY,MEC-A,3977.275,3982.801,TP,0.9,2025-11-05
2025-11-06 14:02:00+00:00,2025-11-06 14:18:00+00:00,SELL,MEC-A,4008.988,4002.5287,TP,0.9,2025-11-06
2025-11-07 14:10:00+00:00,2025-11-07 14:20:00+00:00,BUY,MEC-A,4001.115,4006.2584999999995,TP,0.9,2025-11-07
2025-11-10 14:01:00+00:00,2025-11-10 14:04:00+00:00,SELL,MEC-A,4090.785,4087.7835,TP,0.9,2025-11-10
2025-11-12 14:01:00+00:00,2025-11-12 14:04:00+00:00,BUY,MEC-A,4129.2,4133.4974999999995,TP,0.9,2025-11-12
2025-11-13 14:03:00+00:00,2025-11-13 14:08:00+00:00,SELL,MEC-A,4223.775,4215.994499999999,TP,0.9,2025-11-13
2025-11-14 14:01:00+00:00,2025-11-14 14:20:00+00:00,SHORT,MEC-A,4043.655,4055.49,Hedge,-0.872465904902317,2025-11-14
2025-11-14 14:20:00+00:00,2025-11-14 14:32:00+00:00,BUY,MEC-A,4055.49,4045.115,SL,-1.0,2025-11-14
