t_entrada,R
2026-02-12 13:25:00+00:00,0.9
2026-02-13 13:15:00+00:00,0.9
2026-02-16 13:13:00+00:00,0.9
2026-02-17 13:10:00+00:00,0.9
2026-02-18 13:14:00+00:00,0.9
2026-02-19 13:23:00+00:00,-1.0
2026-02-19 13:33:00+00:00,0.9
2026-02-20 13:14:00+00:00,-1.0
2026-02-20 13:17:00+00:00,-1.0
2026-02-23 13:21:00+00:00,0.9
2026-02-24 13:15:00+00:00,0.9
2026-02-25 13:23:00+00:00,-1.0
2026-02-25 13:41:00+00:00,-1.0
2026-02-26 13:24:00+00:00,-1.0
2026-02-26 13:43:00+00:00,0.9
2026-02-27 13:11:00+00:00,0.9
2026-03-02 13:30:00+00:00,-1.0
2026-03-02 14:07:00+00:00,0.9
2026-03-03 13:19:00+00:00,-1.0
2026-03-03 13:24:00+00:00,0.9
2026-03-04 13:40:00+00:00,0.9
2026-03-05 13:09:00+00:00,-1.0
2026-03-05 13:16:00+00:00,0.9
2026-03-06 14:13:00+00:00,0.9
2026-03-09 12:10:00+00:00,-1.0
2026-03-09 12:23:00+00:00,0.9
2026-03-10 12:20:00+00:00,0.9
2026-03-11 12:30:00+00:00,0.9
2026-03-12 12:23:00+00:00,0.9
2026-03-13 12:41:00+00:00,-1.0
2026-03-13 12:46:00+00:00,-1.0
2026-03-16 12:14:00+00:00,0.9
2026-03-17 12:15:00+00:00,0.9
2026-03-18 12:09:00+00:00,0.9
2026-03-19 12:10:00+00:00,0.9
2026-03-20 12:30:00+00:00,0.9
2026-03-23 12:16:00+00:00,0.9
2026-03-24 12:22:00+00:00,0.9
2026-03-25 12:16:00+00:00,0.9
2026-03-26 12:28:00+00:00,-1.0
2026-03-26 12:33:00+00:00,-1.0
2026-03-27 12:37:00+00:00,0.9
2026-03-30 12:11:00+00:00,0.9
2026-03-31 12:10:00+00:00,0.9
2026-04-01 12:27:00+00:00,-1.0
2026-04-01 12:30:00+00:00,0.9
2026-04-02 12:14:00+00:00,0.9
2026-04-06 12:20:00+00:00,-1.0
2026-04-06 14:10:00+00:00,-1.0
2026-04-07 12:15:00+00:00,0.9
2026-04-08 12:13:00+00:00,-1.0
2026-04-08 12:19:00+00:00,0.9
2026-04-09 12:17:00+00:00,-1.0
2026-04-09 12:42:00+00:00,-1.0
2026-04-10 12:23:00+00:00,-1.0
2026-04-10 12:30:00+00:00,0.9
2026-04-13 12:18:00+00:00,0.9
2026-04-14 12:21:00+00:00,-1.0
2026-04-14 12:33:00+00:00,-1.0
2026-04-15 12:14:00+00:00,0.9
2026-04-16 12:27:00+00:00,0.9
2026-04-17 12:21:00+00:00,0.9
2026-04-20 12:20:00+00:00,-1.0
2026-04-20 12:27:00+00:00,-1.0
2026-04-21 12:18:00+00:00,0.9
2026-04-22 12:17:00+00:00,-1.0
2026-04-22 12:26:00+00:00,-1.0
2026-04-23 12:30:00+00:00,-1.0
2026-04-24 12:46:00+00:00,-1.0
2026-04-24 14:01:00+00:00,0.9
2026-04-27 13:15:00+00:00,0.9
2026-04-28 12:25:00+00:00,-1.0
2026-04-28 12:35:00+00:00,0.9
2026-04-29 12:15:00+00:00,-1.0
2026-04-29 12:28:00+00:00,0.9
2026-04-30 12:16:00+00:00,-1.0
2026-04-30 12:21:00+00:00,-1.0
2026-05-01 12:13:00+00:00,0.9
2026-05-04 12:18:00+00:00,-1.0
2026-05-04 12:36:00+00:00,-1.0
2026-05-05 12:11:00+00:00,0.9
2026-05-06 12:12:00+00:00,0.9
2026-05-07 12:11:00+00:00,-1.0
2026-05-07 12:22:00+00:00,-1.0
2026-05-08 12:32:00+00:00,0.9
2026-05-11 12:21:00+00:00,0.9
2026-05-12 12:22:00+00:00,0.9
2026-05-13 12:46:00+00:00,-1.0
2026-05-13 12:57:00+00:00,0.9
2026-05-14 12:10:00+00:00,0.9
2026-05-15 12:14:00+00:00,-1.0
2026-05-15 12:20:00+00:00,-1.0
2026-05-18 12:09:00+00:00,-1.0
2026-05-18 12:16:00+00:00,-1.0
2026-05-19 12:17:00+00:00,0.9
2026-05-20 12:18:00+00:00,-1.0
2026-05-20 12:30:00+00:00,-1.0
2026-05-21 12:21:00+00:00,0.9
2026-05-22 12:12:00+00:00,0.9
2026-05-25 12:11:00+00:00,-1.0
2026-05-26 12:15:00+00:00,-1.0
2026-05-26 12:28:00+00:00,-1.0
2026-05-27 12:15:00+00:00,-1.0
2026-05-27 12:22:00+00:00,-1.0
2026-05-28 12:21:00+00:00,-1.0
2026-05-28 12:38:00+00:00,0.9
2026-05-29 12:21:00+00:00,-1.0
2026-05-29 13:34:00+00:00,-1.0
2026-06-01 12:13:00+00:00,0.9
2026-06-02 12:15:00+00:00,-1.0
2026-06-02 12:20:00+00:00,0.9
2026-06-03 12:16:00+00:00,-1.0
2026-06-03 12:25:00+00:00,0.9
2026-06-04 13:20:00+00:00,-1.0
2026-06-04 13:46:00+00:00,-1.0
2026-06-05 12:26:00+00:00,0.9
2026-06-08 12:12:00+00:00,0.9
2026-06-09 12:26:00+00:00,0.9
2026-06-10 12:22:00+00:00,-1.0
2026-06-10 12:46:00+00:00,-1.0
2026-06-11 12:20:00+00:00,0.9
2026-06-12 12:25:00+00:00,0.9
2026-06-15 12:14:00+00:00,0.9
2026-06-16 13:16:00+00:00,0.9
2026-06-17 12:10:00+00:00,-1.0
2026-06-17 12:13:00+00:00,-1.0
2026-06-18 12:33:00+00:00,-1.0
2026-06-18 13:30:00+00:00,-1.0
