t_entrada,R
2026-02-12 14:19:00+00:00,0.9
2026-02-16 14:16:00+00:00,-1.0
2026-02-16 14:20:00+00:00,0.9
2026-02-17 14:16:00+00:00,0.9
2026-02-18 14:28:00+00:00,-1.0
2026-02-18 14:31:00+00:00,0.9
2026-02-19 15:15:00+00:00,-1.0
2026-02-19 15:24:00+00:00,0.9
2026-02-20 14:25:00+00:00,-1.0
2026-02-20 14:31:00+00:00,0.9
2026-02-23 14:17:00+00:00,0.9
2026-02-24 14:13:00+00:00,-1.0
2026-02-24 14:36:00+00:00,0.9
2026-02-25 15:19:00+00:00,0.9
2026-02-26 14:16:00+00:00,-1.0
2026-02-26 14:30:00+00:00,-1.0
2026-02-27 14:21:00+00:00,-1.0
2026-02-27 14:31:00+00:00,-1.0
2026-03-02 14:16:00+00:00,0.9
2026-03-03 14:15:00+00:00,0.9
2026-03-04 14:10:00+00:00,0.9
2026-03-05 14:12:00+00:00,0.9
2026-03-06 14:13:00+00:00,0.9
2026-03-09 13:10:00+00:00,0.9
2026-03-10 13:10:00+00:00,0.9
2026-03-11 13:20:00+00:00,-1.0
2026-03-11 13:30:00+00:00,0.9
2026-03-12 13:15:00+00:00,0.9
2026-03-13 13:09:00+00:00,0.9
2026-03-16 13:27:00+00:00,0.9
2026-03-17 13:17:00+00:00,-1.0
2026-03-17 13:22:00+00:00,-1.0
2026-03-18 14:18:00+00:00,0.9
2026-03-19 13:27:00+00:00,0.9
2026-03-20 13:12:00+00:00,-1.0
2026-03-20 13:20:00+00:00,-1.0
2026-03-23 13:22:00+00:00,-1.0
2026-03-23 13:53:00+00:00,0.9
2026-03-24 13:24:00+00:00,0.9
2026-03-25 13:29:00+00:00,-1.0
2026-03-25 13:50:00+00:00,-1.0
2026-03-26 13:13:00+00:00,-1.0
2026-03-26 13:20:00+00:00,0.9
2026-03-27 14:44:00+00:00,0.9
2026-03-30 13:20:00+00:00,0.9
2026-03-31 13:15:00+00:00,-1.0
2026-03-31 13:31:00+00:00,-1.0
2026-04-01 13:11:00+00:00,0.9
2026-04-02 13:27:00+00:00,0.9
2026-04-06 13:31:00+00:00,-1.0
2026-04-06 13:39:00+00:00,-1.0
2026-04-07 13:19:00+00:00,-1.0
2026-04-07 13:22:00+00:00,-1.0
2026-04-08 13:21:00+00:00,-1.0
2026-04-08 13:24:00+00:00,-1.0
2026-04-09 13:21:00+00:00,-1.0
2026-04-09 13:27:00+00:00,-1.0
2026-04-10 13:22:00+00:00,-1.0
2026-04-10 13:34:00+00:00,-1.0
2026-04-13 13:12:00+00:00,-1.0
2026-04-13 13:39:00+00:00,-1.0
2026-04-14 14:19:00+00:00,0.9
2026-04-15 13:25:00+00:00,0.9
2026-04-16 13:22:00+00:00,0.9
2026-04-17 13:30:00+00:00,-1.0
2026-04-17 13:39:00+00:00,0.9
2026-04-21 13:17:00+00:00,-1.0
2026-04-21 13:22:00+00:00,0.9
2026-04-22 13:19:00+00:00,-1.0
2026-04-22 13:20:00+00:00,-1.0
2026-04-23 13:16:00+00:00,-1.0
2026-04-23 13:20:00+00:00,-1.0
2026-04-24 14:25:00+00:00,-1.0
2026-04-27 13:15:00+00:00,0.9
2026-04-28 13:28:00+00:00,-1.0
2026-04-28 13:29:00+00:00,-1.0
2026-04-29 13:09:00+00:00,0.9
2026-04-30 13:16:00+00:00,0.9
2026-05-01 13:09:00+00:00,-1.0
2026-05-01 13:15:00+00:00,-1.0
2026-05-05 13:24:00+00:00,-1.0
2026-05-05 14:02:00+00:00,-1.0
2026-05-06 13:31:00+00:00,0.9
2026-05-07 13:32:00+00:00,-1.0
2026-05-07 13:47:00+00:00,-1.0
2026-05-08 13:32:00+00:00,-1.0
2026-05-08 14:20:00+00:00,0.9
2026-05-11 13:15:00+00:00,0.9
2026-05-12 13:37:00+00:00,-1.0
2026-05-12 13:58:00+00:00,-1.0
2026-05-13 13:18:00+00:00,-1.0
2026-05-13 13:31:00+00:00,0.9
2026-05-14 13:18:00+00:00,0.9
2026-05-15 13:18:00+00:00,-1.0
2026-05-15 13:35:00+00:00,0.9
2026-05-18 13:21:00+00:00,0.9
2026-05-19 13:51:00+00:00,0.9
2026-05-20 13:37:00+00:00,-1.0
2026-05-20 13:48:00+00:00,0.9
2026-05-21 14:18:00+00:00,-1.0
2026-05-22 13:25:00+00:00,0.9
2026-05-25 13:17:00+00:00,-1.0
2026-05-26 13:21:00+00:00,-1.0
2026-05-26 13:51:00+00:00,0.9
2026-05-27 13:18:00+00:00,-1.0
2026-05-28 13:16:00+00:00,0.9
2026-05-29 13:21:00+00:00,0.9
2026-06-01 13:12:00+00:00,0.9
2026-06-02 13:12:00+00:00,0.9
2026-06-03 13:18:00+00:00,0.9
