t_entrada,R,direccion,t_ny,hora_ny
2025-10-27 04:18:00+00:00,0.9,1,2025-10-27 00:18:00-04:00,0
2025-10-27 04:25:00+00:00,0.9,1,2025-10-27 00:25:00-04:00,0
2025-10-27 05:13:00+00:00,0.9,1,2025-10-27 01:13:00-04:00,1
2025-10-27 05:26:00+00:00,-1.0,1,2025-10-27 01:26:00-04:00,1
2025-10-27 07:21:00+00:00,0.9,-1,2025-10-27 03:21:00-04:00,3
2025-10-27 08:22:00+00:00,0.9,-1,2025-10-27 04:22:00-04:00,4
2025-10-27 08:53:00+00:00,0.9,-1,2025-10-27 04:53:00-04:00,4
2025-10-27 11:34:00+00:00,0.9,-1,2025-10-27 07:34:00-04:00,7
2025-10-27 11:37:00+00:00,-1.0,-1,2025-10-27 07:37:00-04:00,7
2025-10-27 11:47:00+00:00,0.9,1,2025-10-27 07:47:00-04:00,7
2025-10-27 12:49:00+00:00,-1.0,1,2025-10-27 08:49:00-04:00,8
2025-10-27 13:30:00+00:00,0.9,-1,2025-10-27 09:30:00-04:00,9
2025-10-27 14:03:00+00:00,0.9,-1,2025-10-27 10:03:00-04:00,10
2025-10-27 14:16:00+00:00,0.9,-1,2025-10-27 10:16:00-04:00,10
2025-10-27 14:37:00+00:00,-1.0,-1,2025-10-27 10:37:00-04:00,10
2025-10-27 17:28:00+00:00,-1.0,1,2025-10-27 13:28:00-04:00,13
2025-10-27 23:17:00+00:00,0.9,1,2025-10-27 19:17:00-04:00,19
2025-10-27 23:21:00+00:00,-1.0,1,2025-10-27 19:21:00-04:00,19
2025-10-28 00:19:00+00:00,-1.0,-1,2025-10-27 20:19:00-04:00,20
2025-10-28 00:46:00+00:00,0.9,1,2025-10-27 20:46:00-04:00,20
2025-10-28 00:51:00+00:00,-1.0,1,2025-10-27 20:51:00-04:00,20
2025-10-28 02:37:00+00:00,0.9,-1,2025-10-27 22:37:00-04:00,22
2025-10-28 02:59:00+00:00,-1.0,-1,2025-10-27 22:59:00-04:00,22
2025-10-28 03:26:00+00:00,-1.0,1,2025-10-27 23:26:00-04:00,23
2025-10-28 03:48:00+00:00,-1.0,1,2025-10-27 23:48:00-04:00,23
2025-10-28 04:16:00+00:00,0.9,-1,2025-10-28 00:16:00-04:00,0
2025-10-28 04:26:00+00:00,0.9,-1,2025-10-28 00:26:00-04:00,0
2025-10-28 06:38:00+00:00,0.9,-1,2025-10-28 02:38:00-04:00,2
2025-10-28 06:50:00+00:00,0.9,-1,2025-10-28 02:50:00-04:00,2
2025-10-28 07:20:00+00:00,0.9,-1,2025-10-28 03:20:00-04:00,3
2025-10-28 08:20:00+00:00,0.9,-1,2025-10-28 04:20:00-04:00,4
2025-10-28 08:46:00+00:00,0.9,-1,2025-10-28 04:46:00-04:00,4
2025-10-28 09:05:00+00:00,-1.0,-1,2025-10-28 05:05:00-04:00,5
2025-10-28 09:44:00+00:00,-1.0,1,2025-10-28 05:44:00-04:00,5
2025-10-28 09:55:00+00:00,-1.0,-1,2025-10-28 05:55:00-04:00,5
2025-10-28 10:32:00+00:00,0.9,1,2025-10-28 06:32:00-04:00,6
2025-10-28 10:49:00+00:00,0.9,1,2025-10-28 06:49:00-04:00,6
2025-10-28 10:53:00+00:00,-1.0,1,2025-10-28 06:53:00-04:00,6
2025-10-28 11:05:00+00:00,-1.0,-1,2025-10-28 07:05:00-04:00,7
2025-10-28 11:42:00+00:00,-1.0,1,2025-10-28 07:42:00-04:00,7
2025-10-28 12:29:00+00:00,0.9,-1,2025-10-28 08:29:00-04:00,8
2025-10-28 12:45:00+00:00,-1.0,-1,2025-10-28 08:45:00-04:00,8
2025-10-28 13:03:00+00:00,0.9,1,2025-10-28 09:03:00-04:00,9
2025-10-28 14:11:00+00:00,0.9,1,2025-10-28 10:11:00-04:00,10
2025-10-28 14:26:00+00:00,0.9,1,2025-10-28 10:26:00-04:00,10
2025-10-28 15:11:00+00:00,0.9,1,2025-10-28 11:11:00-04:00,11
2025-10-28 15:36:00+00:00,0.9,1,2025-10-28 11:36:00-04:00,11
2025-10-28 15:50:00+00:00,-1.0,1,2025-10-28 11:50:00-04:00,11
2025-10-28 16:02:00+00:00,0.9,-1,2025-10-28 12:02:00-04:00,12
2025-10-28 16:08:00+00:00,-1.0,-1,2025-10-28 12:08:00-04:00,12
2025-10-28 17:14:00+00:00,-1.0,1,2025-10-28 13:14:00-04:00,13
2025-10-28 17:51:00+00:00,0.9,-1,2025-10-28 13:51:00-04:00,13
2025-10-28 18:32:00+00:00,-1.0,-1,2025-10-28 14:32:00-04:00,14
2025-10-28 19:53:00+00:00,-1.0,1,2025-10-28 15:53:00-04:00,15
2025-10-28 23:19:00+00:00,0.9,1,2025-10-28 19:19:00-04:00,19
2025-10-28 23:48:00+00:00,0.9,1,2025-10-28 19:48:00-04:00,19
2025-10-28 23:56:00+00:00,0.9,1,2025-10-28 19:56:00-04:00,19
2025-10-29 00:39:00+00:00,-1.0,1,2025-10-28 20:39:00-04:00,20
2025-10-29 02:29:00+00:00,0.9,-1,2025-10-28 22:29:00-04:00,22
2025-10-29 02:33:00+00:00,0.9,-1,2025-10-28 22:33:00-04:00,22
2025-10-29 02:42:00+00:00,0.9,1,2025-10-28 22:42:00-04:00,22
2025-10-29 03:22:00+00:00,0.9,1,2025-10-28 23:22:00-04:00,23
2025-10-29 03:53:00+00:00,0.9,-1,2025-10-28 23:53:00-04:00,23
2025-10-29 03:58:00+00:00,0.9,-1,2025-10-28 23:58:00-04:00,23
2025-10-29 04:13:00+00:00,-1.0,-1,2025-10-29 00:13:00-04:00,0
2025-10-29 06:08:00+00:00,0.9,1,2025-10-29 02:08:00-04:00,2
2025-10-29 06:43:00+00:00,0.9,1,2025-10-29 02:43:00-04:00,2
2025-10-29 07:13:00+00:00,0.9,1,2025-10-29 03:13:00-04:00,3
2025-10-29 08:05:00+00:00,0.9,1,2025-10-29 04:05:00-04:00,4
2025-10-29 09:47:00+00:00,-1.0,1,2025-10-29 05:47:00-04:00,5
2025-10-29 11:36:00+00:00,-1.0,-1,2025-10-29 07:36:00-04:00,7
2025-10-29 12:14:00+00:00,-1.0,1,2025-10-29 08:14:00-04:00,8
2025-10-29 13:04:00+00:00,0.9,-1,2025-10-29 09:04:00-04:00,9
2025-10-29 13:38:00+00:00,0.9,-1,2025-10-29 09:38:00-04:00,9
2025-10-29 15:51:00+00:00,0.9,-1,2025-10-29 11:51:00-04:00,11
2025-10-29 18:35:00+00:00,0.9,-1,2025-10-29 14:35:00-04:00,14
2025-10-29 18:36:00+00:00,0.9,-1,2025-10-29 14:36:00-04:00,14
2025-10-29 22:02:00+00:00,0.9,-1,2025-10-29 18:02:00-04:00,18
2025-10-29 22:10:00+00:00,0.9,1,2025-10-29 18:10:00-04:00,18
2025-10-29 23:22:00+00:00,-1.0,1,2025-10-29 19:22:00-04:00,19
2025-10-29 23:45:00+00:00,-1.0,-1,2025-10-29 19:45:00-04:00,19
2025-10-29 23:49:00+00:00,0.9,1,2025-10-29 19:49:00-04:00,19
2025-10-30 00:01:00+00:00,-1.0,1,2025-10-29 20:01:00-04:00,20
2025-10-30 00:42:00+00:00,0.9,-1,2025-10-29 20:42:00-04:00,20
2025-10-30 00:49:00+00:00,-1.0,-1,2025-10-29 20:49:00-04:00,20
2025-10-30 00:55:00+00:00,-1.0,1,2025-10-29 20:55:00-04:00,20
2025-10-30 02:03:00+00:00,0.9,-1,2025-10-29 22:03:00-04:00,22
2025-10-30 02:10:00+00:00,-1.0,-1,2025-10-29 22:10:00-04:00,22
2025-10-30 04:21:00+00:00,0.9,1,2025-10-30 00:21:00-04:00,0
2025-10-30 04:34:00+00:00,0.9,1,2025-10-30 00:34:00-04:00,0
2025-10-30 12:15:00+00:00,-1.0,1,2025-10-30 08:15:00-04:00,8
2025-10-30 12:29:00+00:00,-1.0,-1,2025-10-30 08:29:00-04:00,8
2025-10-30 13:53:00+00:00,0.9,1,2025-10-30 09:53:00-04:00,9
2025-10-30 14:13:00+00:00,-1.0,1,2025-10-30 10:13:00-04:00,10
2025-10-30 14:45:00+00:00,-1.0,-1,2025-10-30 10:45:00-04:00,10
2025-10-30 17:43:00+00:00,0.9,1,2025-10-30 13:43:00-04:00,13
2025-10-30 17:52:00+00:00,-1.0,1,2025-10-30 13:52:00-04:00,13
2025-10-30 18:04:00+00:00,-1.0,-1,2025-10-30 14:04:00-04:00,14
2025-10-30 18:28:00+00:00,0.9,1,2025-10-30 14:28:00-04:00,14
2025-10-30 20:00:00+00:00,0.9,1,2025-10-30 16:00:00-04:00,16
2025-10-30 22:50:00+00:00,-1.0,1,2025-10-30 18:50:00-04:00,18
2025-10-30 23:15:00+00:00,-1.0,-1,2025-10-30 19:15:00-04:00,19
2025-10-30 23:45:00+00:00,0.9,1,2025-10-30 19:45:00-04:00,19
2025-10-30 23:55:00+00:00,-1.0,1,2025-10-30 19:55:00-04:00,19
2025-10-31 00:03:00+00:00,0.9,-1,2025-10-30 20:03:00-04:00,20
2025-10-31 01:00:00+00:00,-1.0,-1,2025-10-30 21:00:00-04:00,21
2025-10-31 01:08:00+00:00,-1.0,1,2025-10-30 21:08:00-04:00,21
2025-10-31 01:53:00+00:00,0.9,-1,2025-10-30 21:53:00-04:00,21
2025-10-31 02:01:00+00:00,0.9,-1,2025-10-30 22:01:00-04:00,22
2025-10-31 02:35:00+00:00,-1.0,-1,2025-10-30 22:35:00-04:00,22
2025-10-31 02:51:00+00:00,-1.0,1,2025-10-30 22:51:00-04:00,22
2025-10-31 03:12:00+00:00,0.9,-1,2025-10-30 23:12:00-04:00,23
2025-10-31 03:13:00+00:00,-1.0,-1,2025-10-30 23:13:00-04:00,23
2025-10-31 05:09:00+00:00,-1.0,-1,2025-10-31 01:09:00-04:00,1
2025-10-31 05:29:00+00:00,0.9,1,2025-10-31 01:29:00-04:00,1
2025-10-31 05:46:00+00:00,0.9,1,2025-10-31 01:46:00-04:00,1
2025-10-31 07:28:00+00:00,-1.0,1,2025-10-31 03:28:00-04:00,3
2025-10-31 08:54:00+00:00,-1.0,-1,2025-10-31 04:54:00-04:00,4
2025-10-31 12:23:00+00:00,0.9,1,2025-10-31 08:23:00-04:00,8
2025-10-31 12:46:00+00:00,-1.0,1,2025-10-31 08:46:00-04:00,8
2025-10-31 13:40:00+00:00,-1.0,-1,2025-10-31 09:40:00-04:00,9
2025-10-31 14:03:00+00:00,-1.0,1,2025-10-31 10:03:00-04:00,10
2025-10-31 15:33:00+00:00,-1.0,1,2025-10-31 11:33:00-04:00,11
2025-10-31 15:45:00+00:00,0.9,-1,2025-10-31 11:45:00-04:00,11
2025-10-31 16:04:00+00:00,0.9,-1,2025-10-31 12:04:00-04:00,12
2025-11-03 07:36:00+00:00,0.9,1,2025-11-03 02:36:00-05:00,2
2025-11-03 08:05:00+00:00,-1.0,1,2025-11-03 03:05:00-05:00,3
2025-11-03 08:14:00+00:00,0.9,-1,2025-11-03 03:14:00-05:00,3
2025-11-03 08:25:00+00:00,-1.0,-1,2025-11-03 03:25:00-05:00,3
2025-11-03 09:08:00+00:00,-1.0,1,2025-11-03 04:08:00-05:00,4
2025-11-03 09:23:00+00:00,0.9,-1,2025-11-03 04:23:00-05:00,4
2025-11-03 09:30:00+00:00,-1.0,-1,2025-11-03 04:30:00-05:00,4
2025-11-03 13:36:00+00:00,-1.0,1,2025-11-03 08:36:00-05:00,8
2025-11-03 14:28:00+00:00,-1.0,-1,2025-11-03 09:28:00-05:00,9
2025-11-03 14:47:00+00:00,-1.0,1,2025-11-03 09:47:00-05:00,9
2025-11-03 15:38:00+00:00,0.9,1,2025-11-03 10:38:00-05:00,10
2025-11-03 15:46:00+00:00,-1.0,1,2025-11-03 10:46:00-05:00,10
2025-11-03 16:10:00+00:00,0.9,-1,2025-11-03 11:10:00-05:00,11
2025-11-03 16:18:00+00:00,-1.0,-1,2025-11-03 11:18:00-05:00,11
2025-11-03 21:10:00+00:00,0.9,-1,2025-11-03 16:10:00-05:00,16
2025-11-03 21:25:00+00:00,0.9,-1,2025-11-03 16:25:00-05:00,16
2025-11-03 21:39:00+00:00,-1.0,1,2025-11-03 16:39:00-05:00,16
2025-11-03 21:56:00+00:00,-1.0,-1,2025-11-03 16:56:00-05:00,16
2025-11-03 23:01:00+00:00,-1.0,1,2025-11-03 18:01:00-05:00,18
2025-11-03 23:06:00+00:00,0.9,-1,2025-11-03 18:06:00-05:00,18
2025-11-03 23:12:00+00:00,0.9,-1,2025-11-03 18:12:00-05:00,18
2025-11-03 23:16:00+00:00,0.9,-1,2025-11-03 18:16:00-05:00,18
2025-11-04 05:51:00+00:00,0.9,-1,2025-11-04 00:51:00-05:00,0
2025-11-04 05:59:00+00:00,-1.0,-1,2025-11-04 00:59:00-05:00,0
2025-11-04 06:46:00+00:00,0.9,1,2025-11-04 01:46:00-05:00,1
2025-11-04 06:55:00+00:00,0.9,1,2025-11-04 01:55:00-05:00,1
2025-11-04 08:04:00+00:00,-1.0,1,2025-11-04 03:04:00-05:00,3
2025-11-04 08:13:00+00:00,-1.0,-1,2025-11-04 03:13:00-05:00,3
2025-11-04 08:26:00+00:00,-1.0,1,2025-11-04 03:26:00-05:00,3
2025-11-04 09:08:00+00:00,-1.0,-1,2025-11-04 04:08:00-05:00,4
2025-11-04 09:34:00+00:00,-1.0,1,2025-11-04 04:34:00-05:00,4
