t,direccion,modelo,t_ny,hora_ny
2025-10-27 04:18:00+00:00,BUY,MEC-A,2025-10-27 00:18:00-04:00,0
2025-10-27 04:20:00+00:00,BUY,MEC-A,2025-10-27 00:20:00-04:00,0
2025-10-27 04:21:00+00:00,BUY,MEC-A,2025-10-27 00:21:00-04:00,0
2025-10-27 04:24:00+00:00,BUY,MEC-A,2025-10-27 00:24:00-04:00,0
2025-10-27 04:25:00+00:00,BUY,MEC-A,2025-10-27 00:25:00-04:00,0
2025-10-27 04:32:00+00:00,BUY,MEC-A,2025-10-27 00:32:00-04:00,0
2025-10-27 04:33:00+00:00,BUY,MEC-A,2025-10-27 00:33:00-04:00,0
2025-10-27 04:49:00+00:00,BUY,MEC-A,2025-10-27 00:49:00-04:00,0
2025-10-27 04:53:00+00:00,BUY,MEC-A,2025-10-27 00:53:00-04:00,0
2025-10-27 04:54:00+00:00,BUY,MEC-A,2025-10-27 00:54:00-04:00,0
2025-10-27 05:01:00+00:00,BUY,MEC-A,2025-10-27 01:01:00-04:00,1
2025-10-27 05:02:00+00:00,BUY,MEC-A,2025-10-27 01:02:00-04:00,1
2025-10-27 05:03:00+00:00,BUY,MEC-A,2025-10-27 01:03:00-04:00,1
2025-10-27 05:09:00+00:00,BUY,MEC-A,2025-10-27 01:09:00-04:00,1
2025-10-27 05:11:00+00:00,BUY,MEC-A,2025-10-27 01:11:00-04:00,1
2025-10-27 05:13:00+00:00,BUY,MEC-A,2025-10-27 01:13:00-04:00,1
2025-10-27 05:16:00+00:00,BUY,MEC-A,2025-10-27 01:16:00-04:00,1
2025-10-27 05:20:00+00:00,BUY,MEC-A,2025-10-27 01:20:00-04:00,1
2025-10-27 05:21:00+00:00,BUY,MEC-A,2025-10-27 01:21:00-04:00,1
2025-10-27 05:26:00+00:00,BUY,MEC-A,2025-10-27 01:26:00-04:00,1
2025-10-27 05:27:00+00:00,BUY,MEC-A,2025-10-27 01:27:00-04:00,1
2025-10-27 05:33:00+00:00,BUY,MEC-A,2025-10-27 01:33:00-04:00,1
2025-10-27 05:36:00+00:00,BUY,MEC-A,2025-10-27 01:36:00-04:00,1
2025-10-27 05:39:00+00:00,SELL,MEC-A,2025-10-27 01:39:00-04:00,1
2025-10-27 05:42:00+00:00,SELL,MEC-A,2025-10-27 01:42:00-04:00,1
2025-10-27 05:45:00+00:00,SELL,MEC-A,2025-10-27 01:45:00-04:00,1
2025-10-27 05:50:00+00:00,BUY,MEC-A,2025-10-27 01:50:00-04:00,1
2025-10-27 05:56:00+00:00,SELL,MEC-A,2025-10-27 01:56:00-04:00,1
2025-10-27 06:24:00+00:00,BUY,MEC-A,2025-10-27 02:24:00-04:00,2
2025-10-27 06:26:00+00:00,BUY,MEC-A,2025-10-27 02:26:00-04:00,2
2025-10-27 06:34:00+00:00,BUY,MEC-A,2025-10-27 02:34:00-04:00,2
2025-10-27 06:35:00+00:00,BUY,MEC-A,2025-10-27 02:35:00-04:00,2
2025-10-27 06:38:00+00:00,BUY,MEC-A,2025-10-27 02:38:00-04:00,2
2025-10-27 06:54:00+00:00,SELL,MEC-A,2025-10-27 02:54:00-04:00,2
2025-10-27 06:55:00+00:00,SELL,MEC-A,2025-10-27 02:55:00-04:00,2
2025-10-27 07:01:00+00:00,SELL,MEC-A,2025-10-27 03:01:00-04:00,3
2025-10-27 07:02:00+00:00,SELL,MEC-A,2025-10-27 03:02:00-04:00,3
2025-10-27 07:04:00+00:00,SELL,MEC-A,2025-10-27 03:04:00-04:00,3
2025-10-27 07:07:00+00:00,SELL,MEC-A,2025-10-27 03:07:00-04:00,3
2025-10-27 07:08:00+00:00,SELL,MEC-A,2025-10-27 03:08:00-04:00,3
2025-10-27 07:09:00+00:00,SELL,MEC-A,2025-10-27 03:09:00-04:00,3
2025-10-27 07:10:00+00:00,SELL,MEC-A,2025-10-27 03:10:00-04:00,3
2025-10-27 07:14:00+00:00,SELL,MEC-A,2025-10-27 03:14:00-04:00,3
2025-10-27 07:20:00+00:00,SELL,MEC-A,2025-10-27 03:20:00-04:00,3
2025-10-27 07:21:00+00:00,SELL,MEC-A,2025-10-27 03:21:00-04:00,3
2025-10-27 07:26:00+00:00,SELL,MEC-A,2025-10-27 03:26:00-04:00,3
2025-10-27 07:27:00+00:00,SELL,MEC-A,2025-10-27 03:27:00-04:00,3
2025-10-27 07:33:00+00:00,SELL,MEC-A,2025-10-27 03:33:00-04:00,3
2025-10-27 07:39:00+00:00,SELL,MEC-A,2025-10-27 03:39:00-04:00,3
2025-10-27 07:41:00+00:00,SELL,MEC-A,2025-10-27 03:41:00-04:00,3
2025-10-27 07:46:00+00:00,SELL,MEC-A,2025-10-27 03:46:00-04:00,3
2025-10-27 07:51:00+00:00,SELL,MEC-A,2025-10-27 03:51:00-04:00,3
2025-10-27 07:54:00+00:00,SELL,MEC-A,2025-10-27 03:54:00-04:00,3
2025-10-27 07:55:00+00:00,SELL,MEC-A,2025-10-27 03:55:00-04:00,3
2025-10-27 08:00:00+00:00,SELL,MEC-A,2025-10-27 04:00:00-04:00,4
2025-10-27 08:01:00+00:00,SELL,MEC-A,2025-10-27 04:01:00-04:00,4
2025-10-27 08:15:00+00:00,BUY,MEC-A,2025-10-27 04:15:00-04:00,4
2025-10-27 08:21:00+00:00,SELL,MEC-A,2025-10-27 04:21:00-04:00,4
2025-10-27 08:22:00+00:00,SELL,MEC-A,2025-10-27 04:22:00-04:00,4
2025-10-27 08:23:00+00:00,SELL,MEC-A,2025-10-27 04:23:00-04:00,4
2025-10-27 08:25:00+00:00,SELL,MEC-A,2025-10-27 04:25:00-04:00,4
2025-10-27 08:26:00+00:00,SELL,MEC-A,2025-10-27 04:26:00-04:00,4
2025-10-27 08:32:00+00:00,SELL,MEC-A,2025-10-27 04:32:00-04:00,4
2025-10-27 08:40:00+00:00,SELL,MEC-A,2025-10-27 04:40:00-04:00,4
2025-10-27 08:44:00+00:00,SELL,MEC-A,2025-10-27 04:44:00-04:00,4
2025-10-27 08:47:00+00:00,SELL,MEC-A,2025-10-27 04:47:00-04:00,4
2025-10-27 08:48:00+00:00,SELL,MEC-A,2025-10-27 04:48:00-04:00,4
2025-10-27 08:52:00+00:00,SELL,MEC-A,2025-10-27 04:52:00-04:00,4
2025-10-27 08:53:00+00:00,SELL,MEC-A,2025-10-27 04:53:00-04:00,4
2025-10-27 08:54:00+00:00,SELL,MEC-A,2025-10-27 04:54:00-04:00,4
2025-10-27 08:55:00+00:00,SELL,MEC-A,2025-10-27 04:55:00-04:00,4
2025-10-27 11:34:00+00:00,SELL,MEC-A,2025-10-27 07:34:00-04:00,7
2025-10-27 11:37:00+00:00,SELL,MEC-A,2025-10-27 07:37:00-04:00,7
2025-10-27 11:38:00+00:00,SELL,MEC-A,2025-10-27 07:38:00-04:00,7
2025-10-27 11:42:00+00:00,SELL,MEC-A,2025-10-27 07:42:00-04:00,7
2025-10-27 11:46:00+00:00,BUY,MEC-A,2025-10-27 07:46:00-04:00,7
2025-10-27 11:47:00+00:00,BUY,MEC-A,2025-10-27 07:47:00-04:00,7
2025-10-27 11:50:00+00:00,BUY,MEC-A,2025-10-27 07:50:00-04:00,7
2025-10-27 11:53:00+00:00,BUY,MEC-A,2025-10-27 07:53:00-04:00,7
2025-10-27 11:57:00+00:00,BUY,MEC-A,2025-10-27 07:57:00-04:00,7
2025-10-27 12:01:00+00:00,BUY,MEC-A,2025-10-27 08:01:00-04:00,8
2025-10-27 12:02:00+00:00,BUY,MEC-A,2025-10-27 08:02:00-04:00,8
2025-10-27 12:10:00+00:00,BUY,MEC-A,2025-10-27 08:10:00-04:00,8
2025-10-27 12:12:00+00:00,SELL,MEC-A,2025-10-27 08:12:00-04:00,8
2025-10-27 12:19:00+00:00,BUY,MEC-A,2025-10-27 08:19:00-04:00,8
2025-10-27 12:23:00+00:00,BUY,MEC-A,2025-10-27 08:23:00-04:00,8
2025-10-27 12:24:00+00:00,BUY,MEC-A,2025-10-27 08:24:00-04:00,8
2025-10-27 12:41:00+00:00,BUY,MEC-A,2025-10-27 08:41:00-04:00,8
2025-10-27 12:46:00+00:00,BUY,MEC-A,2025-10-27 08:46:00-04:00,8
2025-10-27 12:47:00+00:00,BUY,MEC-A,2025-10-27 08:47:00-04:00,8
2025-10-27 12:49:00+00:00,BUY,MEC-A,2025-10-27 08:49:00-04:00,8
2025-10-27 12:55:00+00:00,BUY,MEC-A,2025-10-27 08:55:00-04:00,8
2025-10-27 12:58:00+00:00,BUY,MEC-A,2025-10-27 08:58:00-04:00,8
2025-10-27 12:59:00+00:00,BUY,MEC-A,2025-10-27 08:59:00-04:00,8
2025-10-27 13:26:00+00:00,SELL,MEC-A,2025-10-27 09:26:00-04:00,9
2025-10-27 13:30:00+00:00,SELL,MEC-A,2025-10-27 09:30:00-04:00,9
2025-10-27 13:31:00+00:00,SELL,MEC-A,2025-10-27 09:31:00-04:00,9
2025-10-27 13:34:00+00:00,SELL,MEC-A,2025-10-27 09:34:00-04:00,9
2025-10-27 13:39:00+00:00,SELL,MEC-A,2025-10-27 09:39:00-04:00,9
2025-10-27 13:40:00+00:00,SELL,MEC-A,2025-10-27 09:40:00-04:00,9
2025-10-27 13:41:00+00:00,SELL,MEC-A,2025-10-27 09:41:00-04:00,9
2025-10-27 13:43:00+00:00,SELL,MEC-A,2025-10-27 09:43:00-04:00,9
2025-10-27 13:47:00+00:00,SELL,MEC-A,2025-10-27 09:47:00-04:00,9
2025-10-27 14:00:00+00:00,SELL,MEC-A,2025-10-27 10:00:00-04:00,10
2025-10-27 14:02:00+00:00,SELL,MEC-A,2025-10-27 10:02:00-04:00,10
2025-10-27 14:03:00+00:00,SELL,MEC-A,2025-10-27 10:03:00-04:00,10
2025-10-27 14:06:00+00:00,SELL,MEC-A,2025-10-27 10:06:00-04:00,10
2025-10-27 14:08:00+00:00,SELL,MEC-A,2025-10-27 10:08:00-04:00,10
2025-10-27 14:14:00+00:00,SELL,MEC-A,2025-10-27 10:14:00-04:00,10
2025-10-27 14:16:00+00:00,SELL,MEC-A,2025-10-27 10:16:00-04:00,10
2025-10-27 14:17:00+00:00,SELL,MEC-A,2025-10-27 10:17:00-04:00,10
2025-10-27 14:22:00+00:00,SELL,MEC-A,2025-10-27 10:22:00-04:00,10
2025-10-27 14:28:00+00:00,BUY,MEC-A,2025-10-27 10:28:00-04:00,10
2025-10-27 14:37:00+00:00,SELL,MEC-A,2025-10-27 10:37:00-04:00,10
2025-10-27 15:00:00+00:00,SELL,MEC-A,2025-10-27 11:00:00-04:00,11
2025-10-27 15:05:00+00:00,SELL,MEC-A,2025-10-27 11:05:00-04:00,11
2025-10-27 15:23:00+00:00,SELL,MEC-A,2025-10-27 11:23:00-04:00,11
2025-10-27 15:30:00+00:00,BUY,MEC-A,2025-10-27 11:30:00-04:00,11
2025-10-27 15:31:00+00:00,BUY,MEC-A,2025-10-27 11:31:00-04:00,11
2025-10-27 15:35:00+00:00,BUY,MEC-A,2025-10-27 11:35:00-04:00,11
2025-10-27 15:53:00+00:00,BUY,MEC-A,2025-10-27 11:53:00-04:00,11
2025-10-27 15:58:00+00:00,BUY,MEC-A,2025-10-27 11:58:00-04:00,11
2025-10-27 17:00:00+00:00,BUY,MEC-A,2025-10-27 13:00:00-04:00,13
2025-10-27 17:02:00+00:00,BUY,MEC-A,2025-10-27 13:02:00-04:00,13
2025-10-27 17:05:00+00:00,BUY,MEC-A,2025-10-27 13:05:00-04:00,13
2025-10-27 17:16:00+00:00,SELL,MEC-A,2025-10-27 13:16:00-04:00,13
2025-10-27 17:17:00+00:00,SELL,MEC-A,2025-10-27 13:17:00-04:00,13
