Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio
26/01/2026,lunes,MER,Envolvente,20:05,20:11,Buy,Take Profit,1.0,1.0,,2026-01-26,1.0,False,MER
27/01/2026,martes,MEC,Star,20:36,20:40,Buy,Take Profit,1.0,1.0,,2026-01-27,1.0,False,MEC
27/01/2026,martes,MEC,Envolvente,20:06,20:11,Buy,Stop Loss,-1.0,,1.0,2026-01-27,-1.0,False,MEC
28/01/2026,miercoles,MEC,Envolvente,20:36,20:40,Buy,Take Profit,1.0,1.0,,2026-01-28,1.0,False,MEC
29/01/2026,jueves,MEC,Envolvente,20:09,20:11,Sell,Take Profit,1.0,1.0,,2026-01-29,1.0,False,MEC
01/02/2026,domingo,MEC,Envolvente,20:10,20:11,Sell,Take Profit,1.0,1.0,,2026-02-01,1.0,False,MEC
02/02/2026,lunes,MEC,Envolvente,20:38,20:44,Sell,Stop Loss,-1.0,,1.0,2026-02-02,-1.0,False,MEC
03/02/2026,martes,MEC,Envolvente,20:37,20:46,Sell,Stop Loss,-1.0,,1.0,2026-02-03,-1.0,False,MEC
04/02/2026,miercoles,MEC,Envolvente,20:58,21:00,Sell,Take Profit,1.0,1.0,,2026-02-04,1.0,False,MEC
11/02/2026,miercoles,MEC,Envolvente,21:42,21:49,Sell,Stop Loss,-1.0,,1.0,2026-02-11,-1.0,False,MEC
12/02/2026,jueves,MER,Envolvente,20:01,20:06,Buy,Take Profit,1.0,1.0,,2026-02-12,1.0,False,MER
19/02/2026,jueves,MER,Envolvente,20:23,20:25,Sell,Take Profit,1.0,1.0,,2026-02-19,1.0,False,MER
23/02/2026,lunes,MER,Envolvente,20:05,20:06,Sell,Take Profit,1.0,1.0,,2026-02-23,1.0,False,MER
25/02/2026,miercoles,MER,Envolvente,21:13,21:35,Sell,Take Profit,1.0,1.0,,2026-02-25,1.0,False,MER
26/02/2026,jueves,MEC,Envolvente,21_05,21:18,Buy,Stop Loss,-1.0,,1.0,2026-02-26,-1.0,False,MEC
01/03/2026,domingo,MEC,Envolvente,21:43,22:31,Buy,Take Profit,1.0,1.0,,2026-03-01,1.0,False,MEC
02/03/2026,lunes,MER,Envolvente,20:01,20_07,Buy,Take Profit,1.0,1.0,,2026-03-02,1.0,False,MER
03/03/2026,martes,MEC,Envolvente,21:12,21:35,Buy,Stop Loss,-1.0,,1.0,2026-03-03,-1.0,False,MEC
03/03/2026,martes,MEC,Envolvente,20:30,20:45,Sell,Stop Loss,-1.0,,1.0,2026-03-03,-1.0,False,MEC
05/03/2026,jueves,MER,Envolvente,20:12,20_31,Buy,Take Profit,1.0,1.0,,2026-03-05,1.0,False,MER
08/03/2026,domingo,MER,Envolvente,20:21,20:36,Buy,Take Profit,1.0,1.0,,2026-03-08,1.0,False,MER
08/03/2026,domingo,MEC,Envolvente,20:13,20:15,Sell,Stop Loss,-1.0,,1.0,2026-03-08,-1.0,False,MEC
