base_pct,enfoque,capital_final,retorno_pct,drawdown_pct,riesgo_cola_pct,tipo_riesgo_cola
1,Parejo,5370.39,437.0,-4.5,0.0,P(DD<-30%)
1,Martingala (tope nivel 5),22623.34,2162.3,-12.3,9.5,P(RUINA sin tope)
1,Anti-Martingala,1145695.39,114469.5,-30.0,39.2,P(DD<-30%)
2,Parejo,27639.11,2663.9,-8.9,0.0,P(DD<-30%)
2,Martingala (tope nivel 5),421625.0,42062.5,-23.8,27.1,P(RUINA sin tope)
2,Anti-Martingala,125003016.8,12500201.7,-57.2,100.0,P(DD<-30%)
3,Parejo,136362.97,13536.3,-13.1,0.0,P(DD<-30%)
3,Martingala (tope nivel 5),6552466.12,655146.6,-34.4,27.4,P(RUINA sin tope)
3,Anti-Martingala,1003790002.34,100378900.2,-80.3,100.0,P(DD<-30%)
4,Parejo,645140.01,64414.0,-17.3,1.8,P(DD<-30%)
4,Martingala (tope nivel 5),85645442.85,8564444.3,-44.3,63.0,P(RUINA sin tope)
4,Anti-Martingala,241972303.47,24197130.3,-96.2,100.0,P(DD<-30%)
5,Parejo,2927636.64,292663.7,-21.3,11.6,P(DD<-30%)
5,Martingala (tope nivel 5),946675441.16,94667444.1,-53.3,64.5,P(RUINA sin tope)
5,Anti-Martingala,99361.95,9836.2,-99.9,100.0,P(DD<-30%)
