tipo,etiqueta,riesgo_prom,capital_final,retorno_pct,drawdown_pct,peor_racha_pct,peor_dia_pct,p_dd_peor_20,p_dd_peor_30
Parejo,0.5% parejo,0.5,2329.82,133.0,-2.3,-1.5,-1.3,0.0,0.0
Parejo,1% parejo,1.0,5370.39,437.0,-4.5,-3.0,-2.7,0.0,0.0
Parejo,1.5% parejo,1.5,12248.04,1124.8,-6.7,-4.4,-4.0,0.0,0.0
Parejo,2% parejo,2.0,27639.11,2663.9,-8.9,-5.9,-5.3,0.1,0.0
Parejo,2.5% parejo,2.5,61715.61,6071.6,-11.0,-7.3,-6.6,1.9,0.0
Parejo,3% parejo,3.0,136362.97,13536.3,-13.1,-8.7,-7.9,8.4,0.1
Parejo,3.5% parejo,3.5,298156.51,29715.7,-15.2,-10.1,-9.2,21.0,0.9
Parejo,4% parejo,4.0,645140.01,64414.0,-17.3,-11.5,-10.4,41.7,2.8
Parejo,4.5% parejo,4.5,1381466.14,138046.6,-19.3,-12.9,-11.7,60.5,4.9
Parejo,5% parejo,5.0,2927636.64,292663.7,-21.3,-14.3,-12.9,78.6,11.4
Parejo,6% parejo,6.0,12746652.73,1274565.3,-25.2,-16.9,-15.4,97.5,34.0
Parejo,7% parejo,7.0,53258723.86,5325772.4,-29.0,-19.6,-17.7,99.6,62.0
Parejo,8% parejo,8.0,213594766.18,21359376.6,-32.6,-22.1,-20.1,100.0,83.7
Parejo,10% parejo,10.0,3040281971.58,304028097.2,-39.5,-27.1,-24.7,100.0,98.7
Ponderado,Mié1/Mar1/Jue1,1.0,5370.39,437.0,-4.5,-3.0,-2.7,0.0,0.0
Ponderado,Mié2/Mar1/Jue1,1.22,8586.12,758.6,-8.0,-4.8,-4.0,0.0,0.0
Ponderado,Mié3/Mar2/Jue1,1.66,19695.94,1869.6,-11.1,-7.2,-6.0,0.0,0.0
Ponderado,Mié4/Mar3/Jue1,2.11,44327.46,4332.7,-14.2,-9.5,-8.0,0.9,0.0
Ponderado,Mié5/Mar4/Jue2,2.75,134950.6,13395.1,-17.2,-11.8,-10.0,8.6,0.1
Ponderado,Mié6/Mar5/Jue3,3.38,399920.08,39892.0,-20.3,-14.1,-12.0,33.1,1.4
Ponderado,Mié7/Mar6/Jue4,4.02,1153850.15,115285.0,-23.4,-16.6,-13.9,67.8,5.9
