Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio,dia_norm,sesion,semana_iso
26/01/2026,lunes,MEC,Envolvente,08:02,09:00,Sell,Break Even,,,,2026-01-26,0.0,False,MEC,lunes,Pre-NY,2026-W5
26/01/2026,lunes,MER,Envolvente,20:05,20:11,Buy,Take Profit,1.0,1.0,,2026-01-26,1.0,False,MER,lunes,Asia,2026-W5
27/01/2026,martes,MEC,Envolvente,07:32,07:49,Buy,Break Even,,,,2026-01-27,0.0,False,MEC,martes,Pre-NY,2026-W5
27/01/2026,martes,MER,Envolvente,07:49,08:02,Sell,Stop Loss,-1.0,,1.0,2026-01-27,-1.0,False,MER,martes,Pre-NY,2026-W5
28/01/2026,miercoles,MEC,Envolvente,07:21,07:54,Buy,Take Profit,1.0,1.0,,2026-01-28,1.0,False,MEC,miercoles,Pre-NY,2026-W5
28/01/2026,miercoles,MEC,Envolvente,20:36,20:40,Buy,Take Profit,1.0,1.0,,2026-01-28,1.0,False,MEC,miercoles,Asia,2026-W5
29/01/2026,jueves,MER,Envolvente,07:37,08:11,Sell,Take Profit,1.0,1.0,,2026-01-29,1.0,False,MER,jueves,Pre-NY,2026-W5
02/02/2026,lunes,MER,Envolvente,08:00,08:03,Sell,Take Profit,1.0,1.0,,2026-02-02,1.0,False,MER,lunes,Pre-NY,2026-W6
02/02/2026,lunes,MEC,Envolvente,20:38,20:44,Sell,Stop Loss,-1.0,,1.0,2026-02-02,-1.0,False,MEC,lunes,Asia,2026-W6
03/02/2026,martes,MEC,Envolvente,08:25,08:46,Buy,Take Profit,1.0,1.0,,2026-02-03,1.0,False,MEC,martes,Pre-NY,2026-W6
04/02/2026,miercoles,MER,Envolvente,07:31,07:59,Buy,Stop Loss,-1.0,,1.0,2026-02-04,-1.0,False,MER,miercoles,Pre-NY,2026-W6
04/02/2026,miercoles,MEC,Envolvente,20:58,21:00,Sell,Take Profit,1.0,1.0,,2026-02-04,1.0,False,MEC,miercoles,Asia,2026-W6
09/02/2026,lunes,MEC,Star,08:29,09:00,Sell,Break Even,,,,2026-02-09,0.0,False,MEC,lunes,Pre-NY,2026-W7
10/02/2026,martes,MER,Envolvente,07:55,08:17,Buy,Take Profit,1.0,1.0,,2026-02-10,1.0,False,MER,martes,Pre-NY,2026-W7
