base_pct,n_confirmaciones,modo,etiqueta,capital_final,retorno_pct,drawdown_pct
1,1,lineal,1 conf. / lineal,58083.76,5708.4,-12.5
1,1,doblando,1 conf. / doblando,1145695.39,114469.5,-30.0
1,2,lineal,2 conf. / lineal,25390.71,2439.1,-8.8
1,2,doblando,2 conf. / doblando,182306.19,18130.6,-24.8
2,1,lineal,1 conf. / lineal,280592.03,27959.2,-15.9
2,1,doblando,1 conf. / doblando,125003016.8,12500201.7,-57.2
2,2,lineal,2 conf. / lineal,125357.58,12435.8,-12.7
2,2,doblando,2 conf. / doblando,6988212.34,698721.2,-51.8
3,1,lineal,1 conf. / lineal,1299951.94,129895.2,-19.4
3,1,doblando,1 conf. / doblando,1003790002.34,100378900.2,-80.3
3,2,lineal,2 conf. / lineal,593465.13,59246.5,-16.7
3,2,doblando,2 conf. / doblando,48216581.71,4821558.2,-75.2
4,1,lineal,1 conf. / lineal,5777312.25,577631.2,-22.9
4,1,doblando,1 conf. / doblando,241972303.47,24197130.3,-96.2
4,2,lineal,2 conf. / lineal,2694817.2,269381.7,-20.7
4,2,doblando,2 conf. / doblando,34141194.01,3414019.4,-91.9
5,1,lineal,1 conf. / lineal,24636321.81,2463532.2,-26.7
5,1,doblando,1 conf. / doblando,99361.95,9836.2,-99.9
5,2,lineal,2 conf. / lineal,11739866.46,1173886.6,-24.6
5,2,doblando,2 conf. / doblando,407762.01,40676.2,-99.1
