variable,capital_final,retorno_pct,drawdown_max_pct,peor_racha_3L_pct,peor_dia_unico_pct,fecha_peor_dia
Miércoles=15%,1671437.74,167043.8,-57.7,-32.7,-29.4,2026-05-20
Miércoles=14%,1175140.82,117414.1,-54.7,-30.7,-27.5,2026-05-20
Miércoles=13%,819040.62,81804.1,-51.5,-28.8,-25.6,2026-05-20
Miércoles=12%,565879.94,56488.0,-48.2,-26.8,-23.7,2026-05-20
Miércoles=11%,387553.65,38655.4,-44.6,-24.8,-21.7,2026-05-20
Miércoles=10%,263094.17,26209.4,-40.9,-22.7,-19.8,2026-05-20
Miércoles=9%,177028.63,17602.9,-37.0,-20.6,-17.9,2026-05-20
Miércoles=8%,118061.29,11706.1,-33.0,-18.4,-15.9,2026-05-20
Miércoles=7%,78033.29,7703.3,-28.7,-16.3,-13.9,2026-05-20
Miércoles=6%,51113.46,5011.3,-24.2,-14.1,-12.0,2026-05-20
Miércoles=5%,33177.66,3217.8,-20.0,-11.8,-10.0,2026-05-20
