base_pct,incremento_pct,capital_final,retorno_pct,drawdown_pct,p_positivo_bootstrap,dd_peor5_bootstrap
1,1.0,25390.71,2439.1,-8.8,100.0,-12.3
1,2.0,105913.72,10491.4,-15.5,100.0,-20.3
1,3.0,390485.33,38948.5,-23.9,100.0,-29.8
1,4.0,1273517.85,127251.8,-31.9,100.0,-39.8
2,1.0,125357.58,12435.8,-12.7,100.0,-18.8
2,2.0,501960.23,50096.0,-17.2,100.0,-23.6
2,3.0,1777212.6,177621.3,-22.3,100.0,-30.1
2,4.0,5567053.53,556605.4,-30.6,100.0,-38.1
3,1.0,593465.13,59246.5,-16.7,100.0,-25.8
3,2.0,2281595.26,228059.5,-20.8,100.0,-29.8
3,3.0,7758513.89,775751.4,-25.2,100.0,-34.6
3,4.0,23343757.63,2334275.8,-29.5,100.0,-39.3
4,1.0,2694817.2,269381.7,-20.7,100.0,-32.3
4,2.0,9948797.88,994779.8,-24.4,100.0,-35.0
4,3.0,32495439.92,3249444.0,-28.6,100.0,-39.2
4,4.0,93914109.54,9391311.0,-32.7,100.0,-43.2
5,1.0,11739866.46,1173886.6,-24.6,100.0,-38.4
5,2.0,41626068.37,4162506.8,-27.9,100.0,-40.6
5,3.0,130605307.74,13060430.8,-31.9,100.0,-44.5
5,4.0,362564116.59,36256311.7,-35.9,100.0,-48.0
