base_pct,incremento_pct,capital_final,retorno_pct,drawdown_pct,p_positivo_bootstrap,dd_peor5_bootstrap
1,1.0,25390.71,2439.1,-8.8,100.0,-12.4
1,2.0,105913.72,10491.4,-15.5,100.0,-20.0
2,1.0,125357.58,12435.8,-12.7,100.0,-19.1
2,2.0,501960.23,50096.0,-17.2,100.0,-23.4
3,1.0,593465.13,59246.5,-16.7,100.0,-25.5
3,2.0,2281595.26,228059.5,-20.8,100.0,-29.0
4,1.0,2694817.2,269381.7,-20.7,100.0,-32.6
4,2.0,9948797.88,994779.8,-24.4,100.0,-34.8
5,1.0,11739866.46,1173886.6,-24.6,100.0,-38.6
5,2.0,41626068.37,4162506.8,-27.9,100.0,-41.3
