Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio
26/01/2026,lunes,MEC,Envolvente,08:02,09:00,Sell,Break Even,,,,2026-01-26,0.0,False,MEC
27/01/2026,martes,MER,Envolvente,07:49,08:02,Sell,Stop Loss,-1.0,,1.0,2026-01-27,-1.0,False,MER
27/01/2026,martes,MEC,Envolvente,07:32,07:49,Buy,Break Even,,,,2026-01-27,0.0,False,MEC
28/01/2026,miercoles,MEC,Envolvente,07:21,07:54,Buy,Take Profit,1.0,1.0,,2026-01-28,1.0,False,MEC
29/01/2026,jueves,MER,Envolvente,07:37,08:11,Sell,Take Profit,1.0,1.0,,2026-01-29,1.0,False,MER
02/02/2026,lunes,MER,Envolvente,08:00,08:03,Sell,Take Profit,1.0,1.0,,2026-02-02,1.0,False,MER
03/02/2026,martes,MEC,Envolvente,08:25,08:46,Buy,Take Profit,1.0,1.0,,2026-02-03,1.0,False,MEC
04/02/2026,miercoles,MER,Envolvente,07:31,07:59,Buy,Stop Loss,-1.0,,1.0,2026-02-04,-1.0,False,MER
06/02/2026,viernes,MER,Envolvente,07:19,07:29,Sell,Take Profit,1.0,1.0,,2026-02-06,1.0,False,MER
09/02/2026,lunes,MEC,Star,08:29,09:00,Sell,Break Even,,,,2026-02-09,0.0,False,MEC
10/02/2026,martes,MER,Envolvente,07:55,08:17,Buy,Take Profit,1.0,1.0,,2026-02-10,1.0,False,MER
11/02/2026,miercoles,MEC,Envolvente,07:09,07:20,Sell,Take Profit,1.0,1.0,,2026-02-11,1.0,False,MEC
13/02/2026,viernes,MEC,Envolvente,07:03,07:17,Buy,Take Profit,1.0,1.0,,2026-02-13,1.0,False,MEC
17/02/2026,martes,MEC,Envolvente,07:05,07:40,Buy,Break Even,,,,2026-02-17,0.0,False,MEC
17/02/2026,martes,MER,Envolvente,07:40,08:05,Sell,Take Profit,1.0,1.0,,2026-02-17,1.0,False,MER
18/02/2026,miercoles,MER,Envolvente,07:00,07:10,Buy,Take Profit,1.0,1.0,,2026-02-18,1.0,False,MER
20/02/2026,viernes,MER,Envolvente,07:08,07:28,Buy,Stop Loss,-1.0,,,2026-02-20,-1.0,False,MER
20/02/2026,viernes,MEC,Envolvente,07:58,08:20,Buy,Take Profit,1.0,1.0,,2026-02-20,1.0,False,MEC
23/02/2026,lunes,MEC,Envolvente,08:08,08:26,Sell,Take Profit,1.0,1.0,,2026-02-23,1.0,False,MEC
24/02/2026,martes,MER,Envolvente,07:00,07:13,Sell,Take Profit,1.0,1.0,,2026-02-24,1.0,False,MER
25/02/2026,miercoles,MER,Envolvente,08:05,08:41,Sell,Stop Loss,-0.6,,1.0,2026-02-25,-0.6,False,MER
25/02/2026,miercoles,MEC,Envolvente,07:26,07:35,Buy,Stop Loss,-1.0,,1.0,2026-02-25,-1.0,False,MEC
26/02/2026,jueves,MEC,Envolvente,07:01,07:09,Sell,Stop Loss,-0.3,,1.0,2026-02-26,-0.3,False,MEC
26/02/2026,jueves,MER,Envolvente,07:09,07:28,Buy,Take Profit,1.0,1.0,,2026-02-26,1.0,False,MER
27/02/2026,viernes,MEC,Envolvente,08:20,08:26,Buy,Take Profit,1.0,1.0,1.0,2026-02-27,1.0,False,MEC
02/03/2026,lunes,MER,Envolvente,07:55,08:03,Sell,Stop Loss,-1.0,,1.0,2026-03-02,-1.0,False,MER
02/03/2026,lunes,MER,Envolvente,08:03,08:12,Buy,Stop Loss,-1.0,,,2026-03-02,-1.0,False,MER
03/03/2026,martes,MEC,Envolvente,07:14,07:30,Buy,Take Profit,1.0,1.0,,2026-03-03,1.0,False,MEC
04/03/2026,miercoles,MER,Envolvente,07:01,07:03,Buy,Take Profit,1.0,1.0,,2026-03-04,1.0,False,MER
05/03/2026,jueves,MEC,Star,08:09,08:17,Sell,Take Profit,1.0,1.0,,2026-03-05,1.0,False,MEC
