Fecha,"dia ",entradas,Patron de entrada,hora de entrada,hora de salida,Buy/sell,resultado,resultado (R),trades tp,trades SL,Entradas
26/01/2026,lunes,MER,Envolvente,20:05,20:11,buy,tp,1,1,,
27/01/2026,martes,MEC,Star,20:36,20:40,buy,tp,1,1,,
27/01/2026,martes,MEC,Envolvente,20:06,20:11,buy,sl,-1,,1,
28/01/2026,miercoles,MEC,Envolvente,20:36,20:40,buy,tp,1,1,,
29/01/2026,jueves,MEC,Envolvente,20:09,20:11,sell,tp,1,1,,
01/02/2026,domingo,MEC,Envolvente,20:10,20:11,sell,tp,1,1,,
02/02/2026,lunes,MEC,Envolvente,20:38,20:44,sell,sl,-1,,1,
03/02/2026,martes,MEC,Envolvente,20:37,20:46,sell,sl,-1,,1,
04/02/2026,miercoles,MEC,Envolvente,20:58,21:00,sell,tp,1,1,,
05/02/2026,jueves,,,,,,,,,,
08/02/2026,domingo,,,,,,,,,,
09/02/2026,lunes,,,,,,,,,,
10/02/2026,martes,,,,,,,,,,
11/02/2026,miercoles,MEC,Envolvente,21:42,21:49,sell,sl,-1,,1,
12/02/2026,jueves,MER,Envolvente,20:01,20:06,buy,tp,1,1,,
19/02/2026,jueves,MER,Envolvente,20:23,20:25,sell,tp,1,1,,
22/02/2026,domingo,,,,,,,,,,
23/02/2026,lunes,MER,Envolvente,20:05,20:06,sell,tp,1,1,,
24/02/2026,martes,,,,,,,,,,
25/02/2026,miercoles,MER,Envolvente,21:13,21:35,sell,tp,1,1,,
26/02/2026,jueves,MEC,Envolvente,21_05,21:18,buy,sl,-1,,1,
01/03/2026,domingo,MEC,Envolvente,21:43,22:31,buy,tp,1,1,,
02/03/2026,lunes,MER,Envolvente,20:01,20_07,buy,tp,1,1,,
03/03/2026,martes,MEC,Envolvente,21:12,21:35,buy,sl,-1,,1,
03/03/2026,martes,MEC,Envolvente,20:30,20:45,sell,sl,-1,,1,
04/03/2026,miercoles,,,,,,,,,,
05/03/2026,jueves,MER,Envolvente,20:12,20_31,buy,tp,1,1,,
08/03/2026,domingo,MER,Envolvente,20:21,20:36,buy,tp,1,1,,
08/03/2026,domingo,MEC,Envolvente,20:13,20:15,sell,sl,-1,,1,
09/03/2026,lunes,MEC,Envolvente,21:52,21:57,buy,tp,1,1,,
10/03/2026,martes,MEC,Envolvente,20:23,21:03,buy,tp,1,1,,
11/03/2026,miercoles,,,,,,,,,,
12/03/2026,jueves,MEC,Envolvente,20:01,20:32,buy,tp,1,1,,
15/03/2026,domingo,MER,Envolvente,20:50,21:00,sell,tp,1,1,,
16/03/2026,lunes,MER,Envolvente,20:54,21:00,buy,sl,-1,,1,
17/03/2026,martes,MEC,Envolvente,20:03,20:05,buy,tp,1,1,,
18/03/2026,miercoles,MEC,Envolvente,20:01,21:02,buy,tp,1,1,,
19/03/2026,jueves,,,,,,,,,,
22/03/2026,domingo,MEC,Envolvente,21:11,21:22,buy,tp,1,1,,
22/03/2026,domingo,MEC,Envolvente,20:05,20:07,sell,sl,-1,,1,
23/03/2026,lunes,MEC,Envolvente,20:26,20:27,sell,tp,1,1,,
24/03/2026,martes,MEC,Envolvente,20:45,21:39,buy,tp,1,1,,
25/03/2026,miercoles,,,,,,,,,,
26/03/2026,jueves,MEC,Envolvente,20:45,20:50,sell,tp,1,1,,
29/03/2026,domingo,MEC,Envolvente,20:01,20:13,sell,tp,1,1,,
30/03/2026,lunes,MEC,Envolvente,20:38,20:57,buy,tp,1,1,,
31/03/2026,martes,MEC,Envolvente,20:05,20:18,buy,tp,1,1,,
