Fecha,"dia ",entradas,Patron de entrada,hora de entrada,hora de salida,Buy/sell,resultado,resultado (R),trades tp,trades SL,Entradas
29/06/2026,lunes,MEC,Envolvente,20:36,20:42,sell,tp,1,1,,
28/06/2026,domingo,MER,Envolvente,20:40,21:48,buy,breakeven,,,,
28/06/2026,domingo,MEC,Envolvente,20:29,20:40,sell,sl,-1,,1,
25/06/2026,jueves,MER,Envolvente,21:05,22:30,sell,tp,1,1,,
25/06/2026,jueves,MEC,Envolvente,20:17,21:05,buy,sl,-0.70,,1,
24/06/2026,miercoles,,,,,,,,,,
23/06/2026,martes,MER,Envolvente,20:01,20:25,buy,sl,-1,,1,
22/06/2026,lunes,MEC,Envolvente,21:44,22:30,sell,breakeven,,,,
21/06/2026,domingo,MEC,Envolvente,21:52,22:30,sell,breakeven,,,,
18/06/2026,jueves,,,,,,,,,,
17/06/2026,miercoles,MEC,Envolvente,22:04,22:12,buy,tp,1,1,,
17/06/2026,miercoles,MER,Envolvente,21:17,22:04,sell,sl,-0.55,,1,
16/06/2026,martes,MEC,Envolvente,21:05,22:30,buy,breakeven,,,,
15/06/2026,lunes,MEC,Envolvente,21:00,21:05,buy,sl,-0.70,,1,
14/06/2026,domingo,MEC,Envolvente,20:01,20:10,buy,tp,1,1,,
11/06/2026,no trades,,,,,,,,,,
10/06/2026,miercoles,MER,Envolvente,21:45,22:00,sell,tp,1,1,,
09/06/2026,martes,MER,Envolvente,20:29,20:32,sell,tp,1,1,,
09/06/2026,martes,MER,Envolvente,20:19,20:29,buy,sl,-1,,1,
08/06/2026,lunes,MEC,Envolvente,21:05,21:07,buy,tp,1,1,,
07/06/2026,domingo,MER,Envolvente,20:33,21:00,sell,tp,1,1,,
04/06/2026,jueves,MER,Envolvente,20:49,21:00,sell,tp,1,1,,
03/06/2026,miercoles,MER,Envolvente,21:02,21:12,buy,tp,1,1,,
02/06/2026,martes,MEC,Star,20:17,20:28,buy,tp,1,1,,
01/06/2026,lunes,MEC,Envolvente,21:46,21:51,sell,tp,1,1,,
01/06/2026,lunes,MEC,Envolvente,20::29,21:01,buy,sl,-1,,1,
31/05/2026,domingo,MER,Envolvente,20_57,21:03,sell,tp,1,1,,
28/05/2026,jueves,MEC,Envolvente,20:16,20:34,buy,tp,1,1,,
27/05/2026,miercoles,,,,,,,,,,
26/05/2026,martes,MEC,Envolvente,20:24,21:43,sell,tp,1,1,,
25/05/2026,lunes,,,,,,,,,,
24/05/2026,domingo,MEC,Envolvente,21:44,22:30,sell,breakeven,,,,
21/05/2026,jueves,MER,Envolvente,20_21,20:39,buy,tp,1,1,,
21/05/2026,jueves,MER,Envolvente,20:01,20:21,sell,sl,-1,,1,
20/05/2026,miercoles,MER,Envolvente,21:01,21:09,sell,sl,-1,,1,
20/05/2026,miercoles,MER,Envolvente,20:52,21:00,buy,sl,-1,,1,
19/05/2026,martes,MER,Envolvente,20:12,20:23,buy,tp,1,1,,
18/05/2026,lunes,,,,,,,,,,
17/05/2026,domingo,MEC,Envolvente,20:59,21:03,buy,sl,-1,,1,
14/05/2026,jueves,MEC,Envolvente,20:01,20:02,sell,tp,1,1,,
13/05/2026,miercoles,MEC,Envolvente,21:05,22:30,sell,breakeven,,,,
13/05/2026,miercoles,MER,Envolvente,20:32,20:59,sell,sl,-1,,1,
12/05/2026,martes,MEC,Envolvente,21:56,22:30,sell,tp,1,1,,
11/05/2026,lunes,MER,Envolvente,20:52,21:00,sell,tp,1,1,,
10/05/2026,domingo,MER,Envolvente,20:30,20:52,buy,sl,-1,,1,
10/05/2026,domingo,MEC,Envolvente,20:13,20:30,sell,sl,-0.70,,1,
07/05/2026,jueves,MEC,Envolvente,22:02,20:03,buy,tp,1,1,,
06/05/2026,miercoles,MER,Envolvente,21:03,21:10,buy,tp,1,1,,
30/04/2026,jueves,,,,,,,,,,
29/04/2026,miercoles,MEC,Envolvente,20:44,20:46,buy,tp,1,1,,
01/04/2026,miercoles,,,,,,,,,,
02/04/2026,jueves,,,,,,,,,,
05/04/2026,domingo,,,,,,,,,,
06/04/2026,lunes,,,,,,,,,,
07/04/2026,martes,MEC,Envolvente,20:01,20:06,buy,tp,1,1,,
08/04/2026,miercoles,MER,Envolvente,20:21,20:41,buy,tp,1,1,,
09/04/2026,jueves,MEC,Envolvente,20:01,21:00,sell,sl,-1,,1,
12/04/2026,domingo,,,,,,,,,,
13/04/2026,lunes,MEC,Envolvente,20:38,22:20,,breakeven,,,,
14/04/2026,martes,MEC,Envolvente,21:09,21:11,buy,tp,1,1,,
14/04/2026,martes,MER,Envolvente,20:20,20:26,buy,sl,-1,,1,
15/04/2026,miercoles,MEC,Envolvente,21:27,21:37,sell,tp,1,1,,
16/04/2026,jueves,,,,,,,,,,
19/04/2026,domingo,MEC,Envolvente,21:03,21:27,buy,tp,1,1,,
20/04/2026,lunes,MER,Envolvente,21:29,21:39,buy,sl,-1,,1,
21/04/2026,martes,MER,Envolvente,20:53,21:22,sell,sl,-1,1,1,
21/04/2026,martes,MEC,Envolvente,20:01,20:53,buy,sl,-0.40,,1,
22/04/2026,miercoles,MER,Envolvente,21:10,21:13,sell,tp,1,,,
23/04/2026,jueves,MER,Envolvente,21:29,21:32,sell,tp,1,1,,
23/04/2026,jueves,MEC,Envolvente,20:46,21:00,sell,sl,-1,,1,
26/04/2026,domingo,,,,,,,,,,
27/04/2026,lunes,MER,Envolvente,20:01,20:08,buy,tp,1,1,,
28/04/2026,martes,,,,,,,,,,
