Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),R:B max,"Trades tp ","Trades sl "
20/07/2026,Lunes,MEC,Envolvente,20:19,20:51,Buy,Take Profit,1,"1,8",1,
21/07/2026,Martes,MER,,20:04,20:07,Buy,Take Profit,1,"6,8",1,
22/07/2026,Miércoles,MER,,21:30,21:48,Sell,Take Profit,1,"1,3",1,
26/07/2026,Domingo,MEC,START,20:09,20:25,Buy,Stop Loss,"-0,7",,,1
26/07/2026,Domingo,"Hegde Position, MER",,20:25,20:45,Sell,Stop Loss,"-0,3",,,1
27/07/2026,Lunes,MER,,20:33,20:48,Buy,Stop Loss,-1,,,1
28/07/2026,Martes,MEC,Envolvente,20:21,21:00,Buy,Stop Loss,-1,,,1
28/07/2026,Martes,MEC,Envolvente,21:31,21:38,Buy,Take Profit,1,"1,2",1,
29/07/2026,Miércoles,MEC,Envolvente,20:34,20:39,Sell,Take Profit,1,"1,6",1,
30/07/2026,Jueves,MEC,Envolvente,20:16,20:31,Sell,Take Profit,1,"3,2",1,
03/08/2026,Lunes,MEC,START,21:05,21:43,Sell,Stop Loss,-1,,,1
04/08/2026,Martes,MER,,21:35,21:45,Buy,Take Profit,1,2,1,
05/08/2026,Miércoles,MER,,21:31,21:39,Buy,Take Profit,1,1,1,
06/08/2026,Jueves,MEC,Envolvente,20:18,20:40,Sell,Take Profit,1,"1,2",1,
09/08/2026,Domingo,MEC,Envolvente,20:35,21:05,Sell,Take Profit,1,"1,8",1,
11/08/2026,Martes,MER,,20:12,20:30,Buy,Take Profit,1,"2,8",1,
12/08/2026,Miércoles,MEC,Envolvente,20:15,20:23,Buy,Take Profit,1,"1,7",1,
13/08/2026,Jueves,MER,,20:06,20:17,Sell,Take Profit,1,"6,24",1,
16/08/2026,Domingo,MER,,20:02,20:11,Buy,Take Profit,1,8,1,
17/08/2026,Lunes,MEC,Envolvente,21:41,21:45,Sell,Take Profit,1,"1,8",1,
18/08/2026,Martes,MEC,START,20:16,20:54,Buy,Stop Loss,"-0,4",,,1
18/08/2026,Martes,"Hegde Position, MER",,20:54,21:00,Sell,Take Profit,1,"2,9",1,
19/08/2026,Miércoles,MER,,20:21,21:01,Sell,Take Profit,1,"2,5",1,
20/08/2026,Jueves,MEC,Envolvente,20:36,21:12,Sell,Stop Loss,"-0,7",,,1
20/08/2026,Jueves,"Hegde Position, MER",,21:12,21:17,Buy,Take Profit,1,"2,7",1,
23/08/2026,Domingo,MEC,Envolvente,20:24,20:26,Sell,Take Profit,1,1,1,
24/08/2026,Lunes,MEC,START,20:59,21:00,Sell,Take Profit,1,"2,8",1,
25/08/2026,Martes,MEC,Envolvente,20:53,21:00,Sell,Take Profit,1,"1,3",1,
26/08/2026,Miércoles,MER,,20:06,20:35,Sell,Take Profit,1,2,1,
27/08/2026,Jueves,MEC,Envolvente,20:21,21:07,Sell,Stop Loss,"-0,48",,,1
27/08/2026,Jueves,"Hegde Position, MEC",Envolvente,21:07,21:27,Buy,Stop Loss,-1,,,1
30/08/2026,Domingo,MEC,Envolvente,"20:15 ",20:26,Buy,Stop Loss,-1,,,1
30/08/2026,Domingo,MEC,Envolvente,"20:35 ",21:00,Buy,Stop Loss,-1,,,1
31/08/2026,Lunes,MEC,Envolvente,"21:05 ",21:34,Sell,Take Profit,"0,33",,1,
31/08/2026,Lunes,"Hegde Position, MER",,21:34,21:58,Buy,Take Profit,0,,1,
01/09/2026,Martes,MER,,20:27,21:02,Sell,Take Profit,1,"2,9",1,
