Fecha,"dia ",entradas,Patron de entrada,hora de entrada,hora de salida,Buy/sell,resultado,resultado (R),trades tp,trades SL,Entradas
30/06/2026,martes,MEC,Envolvente,21:39,22:15,sell,breakeven,,,,
01/07/2026,miercoles,MEC,Envolvente,,20:10,sell,tp,1,1,,
01/07/2026,miercoles,MEC,Envolvente,,20:03,buy,sl,-1,,1,
02/07/2026,jueves,MEC,Envolvente,,20:14,buy,tp,1,1,,
05/07/2026,domingo,MER,Envolvente,,21:03,sell,sl,-0.50,,1,
05/07/2026,domingo,MER,Envolvente,,20:58,buy,sl,-1,,1,
06/07/2026,lunes,MEC,Envolvente,,21:10,sell,tp,1,1,,
07/07/2026,martes,MEC,Envolvente,,20:34,buy,tp,1,1,,
08/07/2026,miercoles,MEC,Star,20:01,,buy,tp,1,1,,
09/07/2026,jueves,MEC,Envolvente,20:27,20:34,sell,tp,1,1,,
12/07/2026,domingo,MER,Envolvente,20:15,20:25,sell,tp,1,1,,
13/07/2026,lunes,MER,Envolvente,20:02,20:07,sell,tp,1,1,,
14/07/2026,martes,MER,Envolvente,21:16,21:33,sell,tp,1,1,,
14/07/2026,martes,MEC,Envolvente,21:00,21:16,buy,sl,-1,,1,
15/07/2026,miercoles,MEC,Envolvente,21:23,22:16,sell,tp,1,1,,
,,,,,,,,,,,
