Fecha,"dia ",entradas,Patron de entrada,hora de entrada,hora de salida,Buy/sell,resultado,resultado (R),trades tp,trades SL,Entradas
13/08/2026,jueves,MEC,Envolvente,08:08,08:16,buy,sl,-1,,1,
13/08/2026,jueves,MEC,Envolvente,07:33,08:08,sell,sl,-0.62,,1,
11/08/2026,martes,MEC,Envolvente,07:01,09:10,buy,tp,1,1,,
10/08/2026,lunes,MEC,Envolvente,08:13,08:26,sell,tp,1,1,,
07/08/2026,viernes,MEC,Envolvente,07:03,08:06,buy,sl,-1,,1,
06/08/2026,jueves,MEC,Envolvente,08:54,09:08,sell,tp,1,1,,
06/08/2026,jueves,MEC,Star,07:45,08:31,sell,sl,-1,,1,
05/08/2026,miercoles,MEC,Envolvente,07:02,07:16,buy,tp,1,1,,
04/08/2026,martes,MEC,Envolvente,07:25,07:32,buy,tp,1,1,,
03/08/2026,lunes,MEC,Envolvente,07:47,07:51,buy,tp,1,1,,
29/07/2026,miercoles,MEC,Envolvente,08:16,08:21,sell,tp,1,1,,
29/07/2026,miercoles,MER,Envolvente,07:32,07:47,sell,sl,-1,,1,
29/07/2026,miercoles,MER,Envolvente,07:14,07:32,buy,tp,0.50,1,,
28/07/2026,martes,MER,Envolvente,07:03,07:04,sell,sl,-1,,1,
27/07/2026,lunes,MER,Envolvente,07:19,07:29,sell,tp,1,1,,
27/07/2026,lunes,MER,Envolvente,07:08,07:19,buy,sl,-0.50,,1,
24/07/2026,viernes,MER,Envolvente,07:58,08:41,sell,sl,-0.60,,1,
24/07/2026,viernes,MEC,Envolvente,07:03,07:39,buy,sl,-1,,1,
22/07/2026,miercoles,MEC,Envolvente,07:09,07:17,buy,tp,1,1,,
21/07/2026,martes,MEC,Envolvente,08:23,08:35,buy,sl,-1,,1,
17/07/2026,viernes,MER,Envolvente,08:03,08:20,sell,tp,1,1,,
16/07/2026,jueves,MEC,Envolvente,07:13,07:25,sell,tp,1,1,,
15/07/2026,miercoles,MEC,Envolvente,08:32,08:58,buy,tp,1,1,,
13/07/2026,lunes,MEC,Envolvente,08:43,08:59,buy,tp,1,1,,
13/07/2026,lunes,MER,Envolvente,08:00,08:12,sell,sl,-1,,1,
10/07/2026,viernes,MER,Envolvente,07:42,08:13,buy,tp,1,1,,
09/07/2026,jueves,MER,Envolvente,07:38,07:41,buy,tp,1,1,,
08/07/2026,miercoles,MER,Envolvente,07:43,08:17,buy,tp,1,1,,
07/07/2026,martes,MER,Envolvente,07:18,07:45,buy,tp,1,1,,
06/07/2026,lunes,MER,Envolvente,07:29,08:21,sell,tp,1,1,,
01/07/2026,miercoles,MEC,Envolvente,07:21,08:50,buy,breakeven,,,,
30/06/2026,martes,MEC,Star,08:20,08:23,sell,tp,1,1,,
30/06/2026,martes,MER,Envolvente,07:25,07:41,sell,sl,-1,,1,
24/06/2026,miercoles,MEC,Envolvente,08:49,08:59,sell,tp,1,1,,
01/06/2026,lunes,MER,Envolvente,08;06,08:14,buy,sl,-1,,1,
24/06/2026,miercoles,MER,Envolvente,07:31,08:06,buy,sl,-1,,1,
23/06/2026,martes,MER,Envolvente,07:34,08:11,sell,tp,1,1,,
22/06/2026,lunes,MEC,Star,07:25,07:38,sell,tp,1,1,,
18/06/2026,jueves,MEC,Envolvente,08:33,09:00,sell,breakeven,,,,
17/06/2026,miercoles,MEC,Envolvente,07:34,07:56,sell,tp,1,1,,
16/06/2026,martes,MEC,Envolvente,07:07,07:36,sell,tp,1,1,,
15/06/2026,lunes,MEC,Envolvente,08:50,09:02,buy,sl,-1,,1,
12/06/2026,viernes,MER,Envolvente,08:00,08:26,sell,tp,1,1,,
09/06/2026,martes,MER,Envolvente,08:53,09:00,sell,sl,-1,,1,
09/06/2026,martes,MEC,Envolvente,08:38,08:53,buy,sl,-0.50,,1,
08/06/2026,lunes,MEC,Envolvente,07:14,07:20,buy,tp,1,1,,
04/06/2026,jueves,MEC,Envolvente,07:25,07:27,buy,tp,1,1,,
03/06/2026,miercoles,MEC,Envolvente,07:02,07:08,buy,tp,1,1,,
02/06/2026,martes,MEC,Envolvente,08:49,09:00,sell,tp,1,1,,
25/06/2026,jueves,MER,Envolvente,07:39,08:30,buy,tp,1,1,,
26/06/2026,viernes,MEC,Envolvente,07:43,08:15,sell,sl,-1,,1,
26/06/2026,viernes,MEC,Envolvente,08:15,08:19,buy,sl,-1,,1,
29/05/2026,viernes,MER,Envolvente,07:23,07:26,buy,sl,-1,,1,
29/05/2026,viernes,MEC,Envolvente,07:11,07:23,sell,sl,-0.32,,1,
28/05/2026,jueves,MER,Envolvente,07:37,08:21,buy,sl,-1,,1,
27/05/2026,miercoles,MEC,Star,07:54,08:18,sell,sl,-1,,1,
27/05/2026,miercoles,MER,Envolvente,07:42,07:54,buy,sl,-0.9,,1,
26/05/2026,martes,MEC,Envolvente,08:46,09:02,buy,tp,1,1,,
26/05/2026,martes,MEC,Envolvente,07:42,08:46,sell,sl,-0.8,,1,
22/05/2026,viernes,MEC,Envolvente,08:59,09:39,buy,sl,-1,,1,
22/05/2026,viernes,MEC,Envolvente,08:31,08:59,sell,sl,-0.5,,1,
21/05/2026,jueves,MEC,Envolvente,08:20,09:15,sell,tp,1,1,,
21/05/2026,jueves,MER,Envolvente,07:51,08:20,buy,sl,-0.9,,1,
18/05/2026,lunes,MEC,Envolvente,08:41,08:42,sell,tp,1,1,,
18/05/2026,lunes,MEC,Envolvente,07:41,08:20,buy,sl,-1,,1,
15/05/2026,viernes,MEC,Envolvente,07:25,07:44,sell,tp,1,1,,
13/05/2026,miercoles,MEC,Star,07:14,07:45,buy,tp,1,1,,
11/05/2026,lunes,MER,Envolvente,08:18,08:21,buy,tp,1,1,,
06/05/2026,miercoles,MER,Envolvente,08:59,09:01,buy,tp,1,1,,
28/04/2026,martes,MER,Envolvente,07:31,07:36,sell,tp,1,1,,
28/04/2026,martes,MER,Envolvente,07:23,07:31,buy,sl,-1,,1,
24/04/2026,viernes,MEC,Envolvente,07:26,08:43,buy,sl,-1,,1,
23/04/2026,jueves,MEC,Envolvente,07:03,07:46,buy,tp,1,1,,
22/04/2026,miercoles,MEC,Star,08:48,09:18,sell,tp,1,1,,
22/04/2026,miercoles,MER,Star,08:25,08:36,buy,sl,-1,,1,
20/04/2026,lunes,MEC,Envolvente,07:44,07:48,buy,tp,1,1,,
17/04/2026,viernes,MEC,Envolvente,07:47,08:30,buy,tp,1,1,,
16/04/2026,jueves,MEC,Star,07:56,08:07,buy,sl,-1,,1,
14/04/2026,martes,MEC,Envolvente,07:08,07:28,buy,tp,1,1,,
13/04/2026,lunes,MEC,Star,07:40,08:50,sell,sl,-1,,1,
09/04/2026,jueves,MEC,Envolvente,08:09,09:00,sell,breakeven,,,,
08/04/2026,miercoles,MER,Envolvente,07:07,07:26,buy,tp,1,1,,
07/04/2026,martes,MEC,Envolvente,07:41,08:24,buy,tp,1,1,,
