Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),R:B max,"Trades tp ","Trades sl "
14/08/2026,Viernes,MEC,START,07:34,07:59,Buy,Take Profit,1,3,1,
17/08/2026,Lunes,MEC,Envolvente,08:44,09:32,Sell,Stop Loss,"-0,86",,,1
19/08/2026,Miércoles,MEC,Envolvente,08:11,08:33,Buy,Take Profit,1,"9,42",1,
20/08/2026,Jueves,MEC,Envolvente,07:13,07:41,Sell,Take Profit,1,"4,6",1,
21/08/2026,Viernes,MEC,Envolvente,08:20,08:35,Sell,Take Profit,1,"1,8",1,
25/08/2026,Martes,MEC,Envolvente,07:18,08:03,Buy,Stop Loss,"-0,9",,,1
25/08/2026,Martes,"Hegde Position, MEC",Envolvente,08:03,08:40,Sell,Take Profit,1,"0,9",1,
26/08/2026,Miércoles,MEC,Envolvente,08:00,08:30,Buy,Stop Loss,-1,,,1
27/08/2026,Jueves,MEC,START,07:20,07:31,Buy,Take Profit,1,"2,1",1,
28/08/2026,Viernes,MEC,Envolvente,08:20,08:26,Buy,Take Profit,1,1,1,
01/09/2026,Martes,MEC,Envolvente,"08:00 ",08:35,Sell,Take Profit,1,"1,2",1,
02/09/2026,Miércoles,MEC,Envolvente,"07:12 ",07:14,Buy,Take Profit,1,"3,4",1,
