fecha,hora,dir,estado,modelo
2025-10-27,09:30,SELL,EXACTO,MEC-A
2025-10-28,09:04,SELL,NO_EXACTO,
2025-10-28,09:18,BUY,EXACTO,MEC-A
2025-10-29,09:50,BUY,EXACTO,MEC-A
2025-10-31,09:37,SELL,EXACTO,MEC-A
2025-10-31,09:47,BUY,EXACTO,MEC-A
2025-11-03,09:27,SELL,EXACTO,MEC-A
2025-11-04,09:29,SELL,EXACTO,MEC-A
2025-11-05,09:27,BUY,EXACTO,MEC-A
2025-11-05,09:43,SELL,EXACTO,MEC-A
2025-11-06,09:10,SELL,EXACTO,MEC-A
2025-11-07,09:10,BUY,EXACTO,MEC-A
2025-11-10,09:16,SELL,EXACTO,MEC-A
2025-11-12,09:18,SELL,EXACTO,MEC-A
2025-11-13,09:03,SELL,EXACTO,MEC-A
2025-11-14,09:37,BUY,EXACTO,MEC-A
2025-11-17,09:06,BUY,EXACTO,MEC-A
2025-11-18,09:15,BUY,EXACTO,MEC-A
2025-11-18,10:50,SELL,EXACTO,MEC-A
2025-11-19,10:26,SELL,EXACTO,MEC-A
2025-11-24,09:51,BUY,EXACTO,MEC-A
2025-11-25,09:27,SELL,EXACTO,MEC-A
2025-11-26,09:35,BUY,NO_EXACTO,
2025-11-26,10:10,BUY,NO_EXACTO,
2025-11-28,09:02,BUY,EXACTO,MEC-A
2025-12-01,10:10,SELL,EXACTO,MEC-A
2025-12-02,09:41,SELL,EXACTO,MEC-A
2025-12-02,09:07,BUY,EXACTO,MEC-A
2025-12-03,09:51,SELL,EXACTO,MEC-A
2025-12-03,10:04,BUY,EXACTO,MEC-A
2025-12-04,09:32,BUY,EXACTO,MEC-A
2025-12-04,09:53,BUY,EXACTO,MEC-A
2025-12-08,09:33,SELL,EXACTO,MEC-A
2025-12-08,09:23,BUY,EXACTO,MEC-A
2025-12-09,09:30,BUY,EXACTO,MEC-A
2025-12-10,09:26,SELL,EXACTO,MEC-A
2025-12-11,09:07,BUY,EXACTO,MEC-A
2025-12-12,09:04,BUY,EXACTO,MEC-A
2025-12-12,09:51,BUY,EXACTO,MEC-A
2026-01-26,09:10,BUY,EXACTO,MEC-A
2026-01-27,09:04,SELL,EXACTO,MEC-A
2026-01-28,09:58,BUY,EXACTO,MEC-A
2026-01-28,09:21,BUY,EXACTO,MEC-A
2026-01-29,09:06,BUY,EXACTO,MEC-A
2026-01-30,09:01,BUY,EXACTO,MEC-A
2026-02-02,09:33,BUY,EXACTO,MEC-A
2026-02-03,09:15,SELL,EXACTO,MEC-A
2026-02-04,09:32,SELL,EXACTO,MEC-A
2026-02-06,09:37,BUY,EXACTO,MEC-A
2026-02-09,09:27,BUY,EXACTO,MEC-A
2026-02-10,09:45,SELL,EXACTO,MEC-A
2026-02-11,09:56,BUY,EXACTO,MEC-A
2026-02-12,09:03,SELL,EXACTO,MEC-A
2026-02-17,09:33,SELL,EXACTO,MEC-A
2026-02-18,09:31,BUY,EXACTO,MEC-A
2026-02-19,09:07,SELL,EXACTO,MEC-A
2026-02-20,10:02,SELL,EXACTO,MEC-A
2026-02-23,09:12,BUY,EXACTO,MEC-A
2026-02-24,09:38,BUY,EXACTO,MEC-A
2026-02-25,09:23,SELL,EXACTO,MEC-A
2026-02-26,09:22,BUY,EXACTO,MEC-A
2026-02-26,10:27,SELL,EXACTO,MEC-A
2026-03-02,09:04,SELL,EXACTO,MEC-A
2026-03-03,10:37,BUY,EXACTO,MEC-A
2026-03-05,09:04,BUY,EXACTO,MEC-A
2026-03-05,10:01,BUY,EXACTO,MEC-A
2026-03-09,09:41,SELL,EXACTO,MEC-A
2026-03-09,09:30,BUY,EXACTO,MEC-A
2026-03-10,09:21,BUY,EXACTO,MEC-A
2026-03-10,10:07,SELL,EXACTO,MEC-A
2026-03-12,09:15,SELL,EXACTO,MEC-A
2026-03-13,09:25,SELL,EXACTO,MEC-A
2026-03-16,09:28,SELL,EXACTO,MEC-A
2026-03-16,10:19,SELL,EXACTO,MEC-A
2026-03-17,09:01,BUY,EXACTO,MEC-A
2026-03-18,10:20,SELL,EXACTO,MEC-A
2026-03-18,10:05,BUY,EXACTO,MEC-A
2026-03-18,10:45,BUY,EXACTO,MEC-A
2026-03-20,09:10,SELL,EXACTO,MEC-A
2026-03-23,10:15,BUY,EXACTO,MEC-A
2026-03-24,10:10,BUY,EXACTO,MEC-A
2026-03-25,09:45,SELL,EXACTO,MEC-A
2026-03-26,09:44,BUY,EXACTO,MEC-A
2026-03-27,09:09,SELL,EXACTO,MEC-A
2026-03-30,09:05,SELL,EXACTO,MEC-A
2026-03-31,09:25,SELL,EXACTO,MEC-A
2026-03-31,09:09,BUY,EXACTO,MEC-A
2026-04-01,10:45,BUY,EXACTO,MEC-A
2026-04-02,09:41,BUY,EXACTO,MEC-A
2026-04-06,09:24,BUY,EXACTO,MEC-A
2026-04-07,09:54,BUY,EXACTO,MEC-A
2026-04-07,10:01,SELL,NO_EXACTO,
2026-04-08,09:10,SELL,EXACTO,MEC-A
2026-04-09,09:33,BUY,EXACTO,MER
2026-04-13,10:17,SELL,EXACTO,MEC-A
2026-04-13,09:47,SELL,EXACTO,MEC-A
2026-04-14,09:19,BUY,EXACTO,MEC-A
2026-04-15,09:57,BUY,EXACTO,MEC-A
2026-04-15,10:30,SELL,EXACTO,MEC-A
2026-04-16,09:34,BUY,EXACTO,MEC-A
2026-04-17,09:06,BUY,EXACTO,MEC-A
2026-04-21,09:05,SELL,EXACTO,MEC-A
2026-04-22,09:28,BUY,NO_EXACTO,
2026-04-23,09:16,BUY,EXACTO,MEC-A
2026-04-24,09:21,SELL,EXACTO,MEC-A
2026-04-27,09:16,BUY,EXACTO,MEC-A
2026-04-27,10:26,SELL,EXACTO,MEC-A
2026-04-29,09:38,SELL,EXACTO,MEC-A
2026-04-30,09:34,SELL,NO_EXACTO,
2026-05-01,09:16,SELL,EXACTO,MEC-A
2026-05-01,09:52,BUY,EXACTO,MEC-A
2026-05-04,09:32,BUY,EXACTO,MER
2026-05-04,10:15,BUY,EXACTO,MEC-A
2026-05-05,09:24,SELL,EXACTO,MEC-A
2026-05-06,09:53,BUY,EXACTO,MEC-A
2026-05-07,09:13,SELL,EXACTO,MEC-A
2026-05-07,09:21,BUY,EXACTO,MEC-A
2026-05-11,09:04,BUY,EXACTO,MEC-A
2026-05-13,09:18,BUY,EXACTO,MEC-A
2026-05-13,10:31,BUY,EXACTO,MEC-A
2026-05-14,09:29,SELL,EXACTO,MEC-A
2026-05-15,09:37 ,SELL,EXACTO,MEC-A
2026-05-18,09:23,BUY,EXACTO,MEC-A
2026-05-19,09:02,SELL,EXACTO,MEC-A
2026-05-20,09:13,BUY,EXACTO,MEC-A
2026-05-20,09:24,SELL,EXACTO,MEC-A
2026-05-21,09:33,SELL,EXACTO,MEC-A
2026-05-21,09:48,BUY,EXACTO,MEC-A
2026-05-22,10:03,SELL,NO_EXACTO,
2026-05-27,09:18,SELL,EXACTO,MEC-A
2026-05-27,09:32,BUY,EXACTO,MEC-A
2026-05-28,10:08,BUY,EXACTO,MEC-A
2026-05-29,09:40,BUY,EXACTO,MEC-A
2026-06-02,09:21,SELL,EXACTO,MEC-A
2026-06-03,09:20,SELL,EXACTO,MEC-A
2026-06-04,09:53,SELL,EXACTO,MEC-A
2026-06-09,09:46,BUY,EXACTO,MEC-A
2026-06-09,09:40,SELL,EXACTO,MEC-A
2026-06-11,09:59,SELL,EXACTO,MEC-A
2026-06-12,09:40,SELL,EXACTO,MEC-A
2026-06-12,09:07,BUY,EXACTO,MEC-A
2026-06-15,10:05,BUY,EXACTO,MEC-A
2026-06-16,09:16,SELL,EXACTO,MEC-A
2026-06-18,09:40,SELL,EXACTO,MEC-A
2026-06-22,10:02,SELL,EXACTO,MEC-A
2026-06-23,09:40,BUY,EXACTO,MEC-A
2026-06-24,09:41,BUY,EXACTO,MEC-A
2026-06-25,09:18,SELL,EXACTO,MEC-A
2026-06-26,10:15,BUY,EXACTO,MEC-A
2026-06-30,09:07,BUY,EXACTO,MEC-A
