fecha,hora,modelo,patron_declarado,direccion,resultado_real,R,vela_open,vela_high,vela_low,vela_close,tipo_detectado_codigo,motivo_codigo,coincide_con_codigo
17/02/2026,09:33,MER,MER-sin-patron,Sell,Take Profit,1.0,4894.83,4899.3,4887.52,4888.5,0,"no cumple ningun umbral (cuerpo=54%, mecha_op=8%)",
18/02/2026,09:31,MEC,Envolvente,Buy,Take Profit,1.0,4960.48,4968.0,4960.48,4967.96,1,Envolvente clasica,True
19/02/2026,09:07,MEC,START,Sell,Take Profit,1.0,4997.27,4997.77,4996.82,4997.23,3,Envolvente doji,
20/02/2026,10:02,MER,MER-sin-patron,Sell,Take Profit,1.0,5063.38,5064.27,5039.4,5039.56,1,Envolvente clasica,
23/02/2026,09:12,MEC,START,Buy,Take Profit,1.0,5149.71,5153.16,5149.54,5153.16,1,Envolvente clasica,
24/02/2026,09:38,MEC,Envolvente,Buy,Take Profit,1.0,5125.2,5133.07,5124.88,5132.53,1,Envolvente clasica,True
25/02/2026,09:23,MEC,Envolvente,Sell,Take Profit,1.0,5185.84,5186.94,5184.87,5185.29,3,Envolvente doji,True
26/02/2026,09:22,MER,MER-sin-patron,Buy,Stop Loss,-1.0,5165.38,5170.28,5165.38,5169.45,2,Envolvente martillo,
26/02/2026,10:27,MEC,Envolvente,Sell,Stop Loss,-1.0,5154.8,5154.98,5130.4,5132.77,1,Envolvente clasica,True
02/03/2026,09:04,MEC,START,Sell,Take Profit,1.0,5385.65,5387.14,5376.83,5377.11,0,"no cumple ningun umbral (cuerpo=83%, mecha_op=3%)",
03/03/2026,10:37,MER,MER-sin-patron,Buy,Take Profit,1.0,5052.12,5064.61,5051.81,5064.34,1,Envolvente clasica,
05/03/2026,09:04,MER,MER-sin-patron,Buy,Stop Loss,-1.0,5118.87,5129.91,5118.42,5129.12,1,Envolvente clasica,
05/03/2026,10:01,MEC,START,Buy,Stop Loss,-1.0,5105.16,5117.2,5104.35,5117.05,1,Envolvente clasica,
09/03/2026,09:41,MER,MER-sin-patron,Sell,Take Profit,1.0,5090.87,5090.87,5082.24,5083.12,1,Envolvente clasica,
09/03/2026,09:30,MER,MER-sin-patron,Buy,Stop Loss,-1.0,5094.66,5104.52,5091.84,5104.16,0,"no cumple ningun umbral (cuerpo=75%, mecha_op=3%)",
10/03/2026,09:21,MEC,Envolvente,Buy,Stop Loss,-1.0,5213.55,5217.84,5212.98,5217.69,1,Envolvente clasica,True
10/03/2026,10:07,MEC,START,Sell,Stop Loss,-1.0,5201.01,5201.14,5188.46,5188.62,1,Envolvente clasica,
12/03/2026,09:15,MEC,Envolvente,Sell,Take Profit,1.0,5184.66,5184.66,5176.14,5176.93,1,Envolvente clasica,True
13/03/2026,09:25,MEC,START,Sell,Take Profit,1.0,5113.62,5114.04,5108.1,5109.04,2,Envolvente martillo,
16/03/2026,09:28,MER,MER-sin-patron,Sell,Stop Loss,-1.0,5023.61,5023.71,5020.47,5020.49,1,Envolvente clasica,
16/03/2026,10:19,MEC,Envolvente,Sell,Take Profit,1.0,5028.18,5028.64,5024.26,5024.64,0,"no cumple ningun umbral (cuerpo=81%, mecha_op=9%)",False
17/03/2026,09:01,MER,MER-sin-patron,Buy,Take Profit,1.0,5011.84,5015.27,5011.09,5015.27,0,"no cumple ningun umbral (cuerpo=82%, mecha_op=0%)",
18/03/2026,10:20,MER,MER-sin-patron,Sell,Take Profit,0.0,4872.94,4873.58,4867.97,4868.14,1,Envolvente clasica,
18/03/2026,10:05,MER,MER-sin-patron,Buy,Stop Loss,-1.0,4884.21,4892.93,4884.2,4892.71,1,Envolvente clasica,
18/03/2026,10:45,MER,MER-sin-patron,Buy,Take Profit,1.0,4861.26,4867.09,4860.94,4866.5,1,Envolvente clasica,
20/03/2026,09:10,MEC,Envolvente,Sell,Take Profit,1.0,4665.04,4666.04,4655.25,4656.78,0,"no cumple ningun umbral (cuerpo=77%, mecha_op=14%)",False
23/03/2026,10:15,MEC,Envolvente,Buy,Take Profit,1.0,4464.54,4482.67,4461.36,4482.02,0,"no cumple ningun umbral (cuerpo=82%, mecha_op=3%)",False
24/03/2026,10:10,MEC,START,Buy,Take Profit,1.0,4397.76,4404.48,4396.58,4404.48,1,Envolvente clasica,
25/03/2026,09:45,MEC,Envolvente,Sell,Take Profit,1.0,4561.46,4563.95,4555.21,4556.34,0,"no cumple ningun umbral (cuerpo=59%, mecha_op=13%)",False
26/03/2026,09:44,MER,MER-sin-patron,Buy,Stop Loss,-1.0,4444.09,4453.79,4441.99,4453.79,0,"no cumple ningun umbral (cuerpo=82%, mecha_op=0%)",
27/03/2026,09:09,MEC,Envolvente,Sell,Take Profit,1.0,4438.87,4439.23,4437.43,4438.05,3,Envolvente doji,True
30/03/2026,09:05,MER,MER-sin-patron,Sell,Take Profit,1.0,4570.81,4572.74,4567.31,4567.73,0,"no cumple ningun umbral (cuerpo=57%, mecha_op=8%)",
31/03/2026,09:25,MER,MER-sin-patron,Sell,Take Profit,1.0,4583.72,4583.72,4579.35,4579.37,1,Envolvente clasica,
31/03/2026,09:09,MER,MER-sin-patron,Buy,Stop Loss,-0.14,4577.6,4581.5,4576.02,4581.46,0,"no cumple ningun umbral (cuerpo=70%, mecha_op=1%)",
01/04/2026,10:45,MEC,START,Buy,Take Profit,1.0,4754.25,4757.13,4753.88,4756.92,0,"no cumple ningun umbral (cuerpo=82%, mecha_op=6%)",
02/04/2026,09:41,MER,MER-sin-patron,Buy,Take Profit,1.0,4589.89,4602.63,4589.68,4602.06,1,Envolvente clasica,
06/04/2026,09:24,MER,MER-sin-patron,Buy,Take Profit,1.0,4669.2,4672.96,4669.13,4672.91,1,Envolvente clasica,
07/04/2026,09:54,MER,MER-sin-patron,Buy,Stop Loss,-1.0,4648.24,4652.88,4647.65,4652.43,0,"no cumple ningun umbral (cuerpo=80%, mecha_op=9%)",
07/04/2026,10:01,MER,MER-sin-patron,Sell,Take Profit,1.0,4637.87,4640.21,4634.96,4635.37,0,"no cumple ningun umbral (cuerpo=48%, mecha_op=8%)",
08/04/2026,09:10,MER,MER-sin-patron,Sell,Take Profit,1.0,4797.99,4798.26,4793.36,4793.45,1,Envolvente clasica,
