resolucion,umbral_zigzag_%,zona,n,retorno_medio_%,IC95_lo,IC95_hi,significativo_95%
M1,0.3,0-23.6%,821,-0.1728,-0.1892,-0.1571,True
M1,0.3,23.6-38.2%,668,-0.1046,-0.1273,-0.0835,True
M1,0.3,38.2-50%,470,-0.1308,-0.1622,-0.1014,True
M1,0.3,50-61.8%,371,-0.0603,-0.0944,-0.0282,True
M1,0.3,61.8-78.6%,392,-0.0483,-0.0839,-0.0146,True
M1,0.3,78.6-100%,353,-0.0131,-0.0412,0.0147,False
M1,0.3,<0% (sin retroceso),3858,-0.1083,-0.1173,-0.0993,True
M1,0.3,>100% (rompio origen),772,-0.0158,-0.0435,0.0128,False
M1,0.6,0-23.6%,104,-0.3604,-0.4135,-0.3115,True
M1,0.6,23.6-38.2%,133,-0.2094,-0.2942,-0.1328,True
M1,0.6,38.2-50%,103,-0.1866,-0.3075,-0.078,True
M1,0.6,50-61.8%,79,-0.092,-0.2312,0.0296,False
M1,0.6,61.8-78.6%,110,-0.0965,-0.2014,0.0066,False
M1,0.6,78.6-100%,50,-0.1015,-0.1983,-0.012,True
M1,0.6,<0% (sin retroceso),593,-0.1284,-0.1543,-0.1036,True
M1,0.6,>100% (rompio origen),102,-0.1522,-0.3111,-0.006,True
Diario,1.5,0-23.6%,6,-1.5733,-2.5103,-0.6962,True
Diario,1.5,23.6-38.2%,6,-0.0503,-0.9831,0.9818,False
Diario,1.5,38.2-50%,5,-0.4738,-1.199,0.3154,False
Diario,1.5,50-61.8%,5,0.3367,-0.7509,1.4242,False
Diario,1.5,61.8-78.6%,12,-0.1126,-0.9897,0.7739,False
Diario,1.5,78.6-100%,11,-0.3246,-1.079,0.4179,False
Diario,1.5,<0% (sin retroceso),39,-0.1768,-0.7392,0.3719,False
Diario,1.5,>100% (rompio origen),25,-0.4884,-1.2511,0.2372,False
Diario,3.0,0-23.6%,6,-1.3329,-2.2806,-0.4626,True
Diario,3.0,23.6-38.2%,6,-0.5407,-1.3668,0.16,False
Diario,3.0,38.2-50%,5,-1.392,-2.1212,-0.5012,True
Diario,3.0,50-61.8%,6,-0.373,-0.9544,0.2626,False
Diario,3.0,61.8-78.6%,9,-0.0511,-1.1615,1.0081,False
Diario,3.0,78.6-100%,8,-0.1048,-1.1968,0.8984,False
Diario,3.0,<0% (sin retroceso),39,-0.3905,-0.9204,0.1463,False
Diario,3.0,>100% (rompio origen),12,0.049,-0.8656,0.9583,False
