EMA,resolucion,zona,n,retorno_medio_%,IC95_lo,IC95_hi,significativo_95%
9,M1,0-0.5%,29252,-0.0004,-0.0011,0.0003,False
9,M1,0.5-1%,59,-0.032,-0.0938,0.0314,False
9,M1,1-2%,5,-0.0329,-0.1188,0.046,False
9,M5,0-0.5%,5502,-0.001,-0.0045,0.0026,False
9,M5,0.5-1%,120,-0.0073,-0.0534,0.0389,False
9,M5,1-2%,14,0.0332,-0.168,0.2077,False
20,M1,0-0.5%,29077,-0.0007,-0.0014,0.0,False
20,M1,0.5-1%,216,0.006,-0.018,0.0289,False
20,M1,1-2%,23,0.0084,-0.1088,0.1287,False
20,M5,0-0.5%,5216,0.0001,-0.0034,0.0038,False
20,M5,0.5-1%,365,0.0032,-0.0171,0.0244,False
20,M5,1-2%,51,-0.0461,-0.1197,0.0227,False
50,M1,0-0.5%,28333,-0.0007,-0.0014,0.0,False
50,M1,0.5-1%,864,-0.0046,-0.0131,0.0042,False
50,M1,1-2%,110,-0.0046,-0.0466,0.0362,False
50,M1,2-4%,9,-0.0565,-0.1655,0.0574,False
200,M1,0-0.5%,22403,0.0002,-0.0006,0.0009,False
200,M1,0.5-1%,3022,0.0003,-0.0029,0.0035,False
200,M1,1-2%,710,-0.0013,-0.0113,0.0094,False
200,M1,2-4%,41,-0.0624,-0.139,0.0158,False
9,Diario,0-0.5%,27,0.0412,-0.6229,0.6972,False
9,Diario,0.5-1%,23,-0.055,-0.6261,0.5484,False
9,Diario,1-2%,42,-0.2095,-0.6657,0.2585,False
9,Diario,2-4%,28,-0.0007,-0.6904,0.7554,False
9,Diario,4-inf%,8,-0.2417,-1.7139,1.3834,False
20,Diario,0-0.5%,16,0.1932,-0.7372,1.1768,False
20,Diario,0.5-1%,23,-0.0303,-0.5381,0.4806,False
20,Diario,1-2%,31,-0.0376,-0.5922,0.5591,False
20,Diario,2-4%,33,0.0217,-0.548,0.6328,False
20,Diario,4-inf%,25,-0.3266,-1.0959,0.4715,False
50,Diario,0.5-1%,11,0.22,-0.6303,1.1222,False
50,Diario,1-2%,18,0.3376,-0.3413,1.025,False
50,Diario,2-4%,34,0.6517,0.0659,1.2438,True
50,Diario,4-inf%,62,-0.3529,-0.7907,0.0766,False
