dia,direccion,rango_apertura_%,entrada,salida,motivo_salida,resultado_%
2026-02-12,LARGO,0.454,5074.488,5051.56,stop,-0.4518288347514051
2026-02-13,LARGO,0.375,4976.385,4987.23,cierre_sesion,0.21792927998937672
2026-02-16,CORTO,0.212,4993.197,4988.269,cierre_sesion,0.09869428344204893
2026-02-17,CORTO,0.457,4911.037,4869.22,cierre_sesion,0.8514902249769245
2026-02-18,LARGO,0.334,4959.657,5000.565,cierre_sesion,0.824815103141194
2026-02-19,CORTO,0.262,4974.764,4987.815,stop,-0.2623441031574458
2026-02-20,CORTO,0.166,5023.735,5032.085,stop,-0.16621099640009604
2026-02-23,CORTO,0.422,5143.76,5165.467,stop,-0.42200646997525976
2026-02-24,CORTO,0.21,5150.675,5142.07,cierre_sesion,0.16706548170871727
2026-02-25,LARGO,0.201,5191.609,5181.2,stop,-0.20049660904741784
2026-02-26,CORTO,0.336,5168.355,5185.74,stop,-0.33637395264064135
2026-02-27,LARGO,1.038,5240.648,5229.275,cierre_sesion,-0.2170151477450976
2026-03-02,LARGO,0.53,5410.314,5381.797,stop,-0.527085858602675
2026-03-03,CORTO,1.516,5146.557,5106.895,cierre_sesion,0.7706511362839148
2026-03-04,CORTO,0.49,5171.07,5149.858,cierre_sesion,0.41020523798748687
2026-03-05,CORTO,1.623,5081.758,5077.825,cierre_sesion,0.07739447647841541
2026-03-06,LARGO,0.56,5109.495,5139.895,cierre_sesion,0.5949707358555111
2026-03-09,LARGO,0.433,5110.15,5088.13,stop,-0.43090711622945566
2026-03-10,LARGO,0.355,5180.855,5228.79,cierre_sesion,0.9252333832929199
2026-03-11,LARGO,0.34,5195.38,5177.8,stop,-0.338377558523148
2026-03-12,LARGO,0.326,5180.66,5163.845,stop,-0.3245725448108851
2026-03-13,LARGO,0.286,5119.04,5104.45,stop,-0.28501437769582083
2026-03-16,LARGO,0.609,5024.925,4994.49,stop,-0.6056806818012289
2026-03-17,LARGO,0.429,5020.87,4999.41,stop,-0.427415965758923
2026-03-18,CORTO,0.753,4895.798,4862.58,cierre_sesion,0.6785002158994274
2026-03-19,CORTO,1.11,4603.049,4596.515,cierre_sesion,0.1419493905018098
2026-03-20,CORTO,0.508,4671.905,4553.553,cierre_sesion,2.5332706893654704
2026-03-23,LARGO,1.573,4405.19,4363.995,cierre_sesion,-0.9351469516638263
2026-03-24,CORTO,0.725,4395.877,4427.729,stop,-0.7245880628598084
2026-03-25,CORTO,0.958,4540.185,4559.035,cierre_sesion,-0.4151813197039207
2026-03-26,LARGO,0.659,4445.92,4438.44,cierre_sesion,-0.16824414294455303
2026-03-27,LARGO,0.493,4434.45,4524.119,cierre_sesion,2.022099696692935
2026-03-30,LARGO,0.504,4568.34,4545.415,stop,-0.5018234194477684
2026-03-31,CORTO,0.571,4571.59,4597.69,stop,-0.5709173394814376
2026-04-01,LARGO,0.612,4753.75,4724.815,stop,-0.6086773599789724
2026-04-02,CORTO,0.777,4594.71,4630.43,stop,-0.7774157672627925
2026-04-06,CORTO,0.577,4659.92,4686.82,stop,-0.5772631289807473
2026-04-07,CORTO,0.425,4651.44,4655.561,cierre_sesion,-0.08859621966530999
2026-04-08,CORTO,0.817,4768.455,4756.6,cierre_sesion,0.24861302035983487
2026-04-09,LARGO,0.521,4759.76,4792.91,cierre_sesion,0.6964636872447274
2026-04-10,LARGO,0.238,4771.292,4759.965,stop,-0.23739901058246327
2026-04-13,LARGO,0.351,4720.34,4703.84,stop,-0.3495510916586517
2026-04-14,CORTO,0.313,4762.85,4777.76,stop,-0.31304785999978696
2026-04-15,LARGO,0.193,4816.33,4807.065,stop,-0.19236638685472812
2026-04-16,LARGO,0.239,4823.289,4811.789,stop,-0.23842651767289916
2026-04-17,LARGO,0.455,4819.55,4867.54,cierre_sesion,0.9957361164424019
2026-04-20,CORTO,0.401,4802.925,4822.207,stop,-0.4014636913963919
2026-04-21,CORTO,0.375,4779.28,4741.72,cierre_sesion,0.7858924356806777
2026-04-22,CORTO,0.264,4747.245,4759.785,stop,-0.2641532088611387
2026-04-23,LARGO,0.402,4738.78,4719.81,stop,-0.4003140048704381
2026-04-24,CORTO,0.218,4701.625,4711.875,stop,-0.21800973067822296
2026-04-27,CORTO,0.216,4693.42,4670.11,cierre_sesion,0.49665276067346203
2026-04-28,LARGO,0.951,4598.21,4586.505,cierre_sesion,-0.25455557706150717
2026-04-29,CORTO,0.212,4559.445,4547.74,cierre_sesion,0.2567198419983118
2026-04-30,CORTO,0.198,4628.54,4637.705,stop,-0.19801060377570384
2026-05-01,LARGO,0.72,4607.988,4643.33,cierre_sesion,0.7669724834352789
2026-05-04,CORTO,0.44,4559.365,4521.73,cierre_sesion,0.8254438940510405
2026-05-05,LARGO,0.44,4574.33,4568.6,cierre_sesion,-0.12526424634863606
2026-05-06,LARGO,0.702,4693.185,4687.89,cierre_sesion,-0.11282316806177622
2026-05-07,LARGO,0.294,4747.28,4733.356,stop,-0.29330479769467943
2026-05-08,LARGO,0.359,4719.91,4703.025,stop,-0.35773987215858394
2026-05-11,LARGO,0.598,4695.445,4732.255,cierre_sesion,0.7839512548863932
2026-05-12,CORTO,0.282,4695.155,4708.405,stop,-0.2822058057721204
2026-05-13,CORTO,0.388,4683.39,4695.625,cierre_sesion,-0.26124239066145827
2026-05-14,LARGO,0.324,4707.606,4692.412,stop,-0.3227542831749196
2026-05-15,CORTO,0.303,4545.07,4558.86,stop,-0.30340566811952213
2026-05-18,LARGO,0.25,4556.66,4545.28,stop,-0.24974433027700355
2026-05-19,LARGO,0.427,4546.72,4527.39,stop,-0.4251416405672645
2026-05-20,LARGO,0.182,4501.25,4493.07,stop,-0.1817272979727918
2026-05-21,CORTO,0.345,4503.866,4511.985,cierre_sesion,-0.18026735253668041
2026-05-22,CORTO,0.387,4518.775,4520.19,cierre_sesion,-0.03131379632754372
2026-05-25,LARGO,0.362,4569.51,4571.025,cierre_sesion,0.03315453954580289
2026-05-26,CORTO,0.275,4503.75,4516.148,stop,-0.27528170968637555
2026-05-27,CORTO,0.883,4427.595,4436.625,cierre_sesion,-0.20394819309353598
2026-05-28,LARGO,0.304,4392.965,4482.39,cierre_sesion,2.0356410761296795
2026-05-29,CORTO,0.413,4520.04,4538.705,stop,-0.41293882355023326
2026-06-01,LARGO,0.27,4509.69,4497.555,stop,-0.2690872321600667
2026-06-02,CORTO,0.224,4524.076,4502.18,cierre_sesion,0.4839883326451574
2026-06-03,CORTO,0.283,4452.08,4464.68,stop,-0.28301378232197905
2026-06-04,LARGO,0.221,4510.19,4500.245,stop,-0.22050068844105702
2026-06-05,CORTO,0.317,4461.814,4335.49,cierre_sesion,2.831225147440044
2026-06-08,LARGO,0.337,4334.865,4320.29,stop,-0.3362273104237345
2026-06-09,CORTO,0.204,4335.434,4344.29,stop,-0.2042702068581777
2026-06-10,LARGO,0.533,4152.675,4130.675,stop,-0.5297789978748637
2026-06-11,CORTO,0.636,4061.38,4087.23,stop,-0.6364831658204825
2026-06-12,CORTO,0.362,4200.29,4215.485,stop,-0.36176073556825145
2026-06-15,LARGO,0.32,4338.63,4356.373,cierre_sesion,0.40895397856004045
2026-06-16,CORTO,0.505,4333.185,4335.31,cierre_sesion,-0.04904014022018446
2026-06-17,LARGO,0.182,4327.735,4363.77,cierre_sesion,0.8326526462456867
2026-06-18,LARGO,0.68,4269.27,4240.435,stop,-0.6754082079606124
2026-06-19,CORTO,0.219,4151.38,4160.485,stop,-0.21932465830638398
2026-06-22,CORTO,0.152,4205.51,4182.995,cierre_sesion,0.5353690753321315
2026-06-23,CORTO,0.382,4111.805,4127.5,stop,-0.3817058445135338
2026-06-24,CORTO,1.05,4006.89,4002.65,cierre_sesion,0.10581772896185773
2026-06-25,LARGO,0.181,3986.24,4041.136,cierre_sesion,1.3771373524925792
2026-06-26,CORTO,0.239,4042.122,4051.775,stop,-0.23881020909315076
2026-06-29,CORTO,0.365,4037.825,4027.109,cierre_sesion,0.265390402010981
2026-06-30,CORTO,0.49,4014.92,4034.605,stop,-0.49029619519193274
2026-07-01,CORTO,0.353,4019.57,4033.74,stop,-0.35252527011594814
2026-07-02,LARGO,0.307,4073.805,4128.615,cierre_sesion,1.345425222856763
2026-07-03,CORTO,0.269,4172.185,4164.925,cierre_sesion,0.17400954176289446
2026-07-06,CORTO,0.322,4145.17,4148.41,cierre_sesion,-0.07816325989042142
2026-07-07,LARGO,0.494,4175.165,4154.625,stop,-0.4919566053078133
2026-07-08,LARGO,0.465,4077.645,4058.785,stop,-0.46252187230619946
2026-07-09,LARGO,0.364,4120.175,4127.005,cierre_sesion,0.16576965784220155
2026-07-10,CORTO,0.408,4100.99,4113.135,cierre_sesion,-0.29614800328702184
2026-07-13,LARGO,0.247,4063.805,4053.805,stop,-0.2460747993567605
2026-07-14,LARGO,0.316,4035.985,4066.295,cierre_sesion,0.7509938713845553
2026-07-15,LARGO,0.169,4042.67,4046.96,cierre_sesion,0.10611798638028738
2026-07-16,CORTO,0.759,4012.9,4007.04,cierre_sesion,0.14602905629345678
2026-07-17,CORTO,0.279,3984.485,3966.235,cierre_sesion,0.45802657056056173
2026-07-20,CORTO,0.46,4006.88,4011.91,cierre_sesion,-0.12553408138002
2026-07-21,CORTO,0.25,4055.755,4065.9,stop,-0.2501383836055181
2026-07-22,LARGO,0.278,4133.34,4121.87,stop,-0.2774995524200829
2026-07-23,CORTO,0.384,4070.435,4048.815,cierre_sesion,0.5311471624040155
2026-07-24,CORTO,0.194,4052.45,4060.3,stop,-0.19370997791460384
2026-07-27,CORTO,0.389,4081.75,4078.595,cierre_sesion,0.07729527776076928
2026-07-28,LARGO,0.302,4035.065,4022.93,stop,-0.3007386498110989
2026-07-29,CORTO,0.515,4012.89,4009.87,cierre_sesion,0.07525748276179965
2026-07-30,LARGO,0.269,4082.645,4071.7,stop,-0.26808600796787774
2026-07-31,CORTO,0.305,4047.15,4045.635,cierre_sesion,0.037433749675694565
2026-08-03,CORTO,0.396,4048.66,4036.125,cierre_sesion,0.3096086112442106
2026-08-04,LARGO,0.374,4076.175,4087.395,cierre_sesion,0.27525805442601947
2026-08-05,CORTO,0.592,4188.8,4213.595,stop,-0.5919356378915219
2026-08-06,LARGO,0.294,4265.795,4253.3,stop,-0.2929114033843607
2026-08-07,LARGO,0.557,4325.54,4341.065,cierre_sesion,0.35891472509789846
2026-08-10,LARGO,0.313,4337.715,4324.195,stop,-0.31168483867659436
2026-08-11,LARGO,0.363,4399.855,4383.94,stop,-0.36171646565625376
2026-08-12,LARGO,0.517,4427.5,4404.745,stop,-0.5139469226425772
2026-08-13,LARGO,0.198,4392.945,4384.27,stop,-0.19747572528222576
