area,dias,%_del_total,ret_fwd_1d_%,ret_fwd_3d_%,ret_fwd_5d_%,win_rate_fwd_1d_%
abajo_2.0+,96,2.6,-0.032,0.135,0.505,47.9
abajo_1.5-2.0,161,4.3,0.102,0.262,0.483,54.0
abajo_1.0-1.5,272,7.2,0.052,0.159,0.356,56.6
abajo_0.5-1.0,521,13.9,0.064,-0.029,-0.074,51.8
abajo_0.0-0.5,695,18.5,0.016,0.037,-0.036,52.2
arriba_0.0-0.5,715,19.0,0.04,0.14,0.176,52.4
arriba_0.5-1.0,575,15.3,0.026,0.104,0.276,47.0
arriba_1.0-1.5,363,9.7,-0.063,-0.024,-0.031,49.9
arriba_1.5-2.0,206,5.5,0.092,0.16,0.379,53.4
arriba_2.0+,153,4.1,-0.002,0.219,0.141,59.5
