ticker,ventana,desde,hasta,estrategia_%,buy_hold_%,gano_vs_bh,n_barras_en_posicion,win_rate_%
CRM,1,2021-08-16,2022-08-12,-21.335,-23.8,True,38,34.21
CRM,2,2022-08-15,2023-08-14,20.49,10.991,True,68,47.06
CRM,3,2023-08-15,2024-08-13,9.46,22.296,False,78,52.56
CRM,4,2024-08-14,2025-08-14,8.467,-8.06,True,47,46.81
CRM,5,2025-08-15,2026-08-14,-7.329,-18.384,True,76,46.05
WFC,1,2021-08-16,2022-08-12,13.185,-5.083,True,98,53.06
WFC,2,2022-08-15,2023-08-14,4.181,-1.643,True,92,52.17
WFC,3,2023-08-15,2024-08-13,6.06,27.399,False,85,49.41
WFC,4,2024-08-14,2025-08-14,15.228,51.279,False,65,49.23
WFC,5,2025-08-15,2026-08-14,12.296,17.713,False,100,56.0
SLB,1,2021-08-16,2022-08-12,-2.57,35.768,False,74,47.3
SLB,2,2022-08-15,2023-08-14,20.819,69.494,False,84,52.38
SLB,3,2023-08-15,2024-08-13,-4.601,-23.367,True,65,49.23
SLB,4,2024-08-14,2025-08-14,-7.032,-21.952,True,48,43.75
SLB,5,2025-08-15,2026-08-14,0.634,67.441,False,61,49.18
ORCL,1,2021-08-16,2022-08-12,-11.697,-11.484,False,31,32.26
ORCL,2,2022-08-15,2023-08-14,35.239,48.526,False,55,54.55
ORCL,3,2023-08-15,2024-08-13,5.548,16.031,False,103,51.46
ORCL,4,2024-08-14,2025-08-14,7.895,82.539,False,34,61.76
ORCL,5,2025-08-15,2026-08-14,34.865,-38.684,True,20,50.0
FSLR,1,2021-08-16,2022-08-12,3.358,21.832,False,76,51.32
FSLR,2,2022-08-15,2023-08-14,-17.131,78.845,False,49,36.73
FSLR,3,2023-08-15,2024-08-13,18.122,15.233,True,75,49.33
FSLR,4,2024-08-14,2025-08-14,-1.272,-20.169,True,41,34.15
FSLR,5,2025-08-15,2026-08-14,8.84,12.808,False,53,39.62
BSBR,1,2021-08-16,2022-08-12,7.09,-12.747,True,50,54.0
BSBR,2,2022-08-15,2023-08-14,-22.073,-2.739,False,68,42.65
BSBR,3,2023-08-15,2024-08-13,2.223,7.362,False,88,48.86
BSBR,4,2024-08-14,2025-08-14,1.753,-3.925,True,78,44.87
BSBR,5,2025-08-15,2026-08-14,8.102,20.133,False,42,50.0
