"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña",Resultados,"Indicador de resultado","Coste por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,"Contactos de mensajes totales","Nuevos contactos de mensajes",Compras,Fin,"Configuración de atribución","Coste por compra (ARS)"
2026-06-27,2026-07-26,"Campaña de cirugias Campaña",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,1969-12-31,-,
2026-06-27,2026-07-26,"Nueva campaña de Reconocimiento",not_delivering,0,reach,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña wsp e ig  - Rinomodelación",not_delivering,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña wsp e ig  - RinoLips",not_delivering,,,,6750,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"campaña octubre pre dia de la madre",not_delivering,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"campaña de tratamientos Vanina",inactive,,,,3250,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de mensajes de Navidad  Campaña",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña nuevo año 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña febrero 2025",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña wsp e ig  - Relleno de Labios",inactive,,,,8000,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"lipomarcacion masculina 1-",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña rino 1 semana",active,265,actions:onsite_conversion.messaging_conversation_started_7d,812.52475472,8000,Diario,215319.06,139930,77757,280,223,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"campaña publico tibio Campaña",not_delivering,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"campaña cirugías Campaña",inactive,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña Cirugia",not_delivering,,,,139719,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña Vanina Estetica",active,554,actions:onsite_conversion.messaging_conversation_started_7d,1001.20111913,"Con el presupuesto del conjunto de anuncios",0,554665.42,303197,137849,581,492,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña Interaccion 20|5 Vani",active,4817,actions:link_click,27.41869006,5000,Diario,132075.83,120795,92660,56,55,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña Labios 20|5 Vanina",inactive,,,,5000,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de venta de Implantes Mamarios",not_delivering,,,,40000,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de venta de Implantes Mamarios 10/06",not_delivering,,,,40000,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de venta de Implantes Mamarios zona sur",active,1000,actions:onsite_conversion.messaging_conversation_started_7d,1062.40152,40000,Diario,1062401.52,818248,519589,1073,979,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de ventas aumento mamario 17|6",inactive,133,actions:onsite_conversion.messaging_conversation_started_7d,1517.41075188,40000,Diario,201815.63,77428,41105,143,123,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña Ventas foto 17|6",rejected,549,actions:onsite_conversion.messaging_conversation_started_7d,1093.0582878,40000,Diario,600089,389095,237486,596,534,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de Interaccion Rino 1|7",active,1153,actions:onsite_conversion.messaging_conversation_started_7d,386.6635039,"Con el presupuesto del conjunto de anuncios",0,445823.02,351030,171681,1187,1122,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Remarketing 13|7 Ventas",active,269,actions:onsite_conversion.messaging_conversation_started_7d,766.86141264,20000,Diario,206285.72,113643,34323,279,245,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña de mensajes a Whatsapp e Instagram - OK",not_delivering,,,,"Con el presupuesto del conjunto de anuncios",0,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
2026-06-27,2026-07-26,"Campaña procedimientos esteticos",inactive,,,,1747.56,Diario,0,0,0,,,,"En curso","7 días después del clic o 1 día después de la visualización",
